segment_id,source_clip,t_start,t_end,duration_s,diel_bin,season,hour_sin,hour_cos,month_sin,month_cos
1313184_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_009.webm,65.155,75.651,10.495,dawn,autumn,1.0,0.0,0.866025,-0.5
1313184_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_017.webm,15.859,29.977,14.118,dawn,autumn,1.0,0.0,0.866025,-0.5
1313184_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_022.webm,43.212,55.055,11.842,dawn,autumn,1.0,0.0,0.866025,-0.5
1313190_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_004.webm,29.048,41.146,12.098,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313190_clip007_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_007.webm,168.414,183.67,15.256,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313190_clip014_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_014.webm,95.225,105.419,10.194,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313190_clip014_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_014.webm,126.154,137.439,11.285,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313190_clip019_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_019.webm,225.466,240.721,15.256,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313190_clip020_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313190/site_257_item_1313190_clip_020.webm,112.988,123.368,10.379,afternoon,autumn,-0.5,-0.866025,0.866025,-0.5
1313284_clip002_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313284/site_257_item_1313284_clip_002.webm,260.946,299.839,38.893,afternoon,autumn,0.0,-1.0,0.5,-0.866025
