snippet_id,event_type,species_common_name,species_scientific_name,audio_event_id,audio_path,score,quality_score,diel_bin,season,duration_s,recording_id,event_start_seconds,event_end_seconds,source_manifest,verdict,notes
horsfields_bronze_cuckoo_ref58_23635897,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,23635897,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_23635897_crop_0.50s.wav,0.9980,11.096118,morning,summer,7.000,1402712,2025.000,2031.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref15_18696395,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,18696395,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_18696395_crop_0.50s.wav,0.9974,5.665393,dawn,winter,4.000,1539219,1638.000,1641.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref78_1519148,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1519148,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_1519148_crop_0.50s.wav,0.9696,5.156224,morning,winter,7.000,1675755,3093.000,3099.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref50_13395066,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,13395066,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13395066_crop_0.50s.wav,0.9996,4.942894,morning,winter,7.000,1539500,1074.000,1080.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref66_18693695,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,18693695,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_18693695_crop_0.50s.wav,0.9954,4.933436,morning,summer,4.000,1681879,1794.000,1797.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref2_10030361,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,10030361,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_10030361_crop_0.50s.wav,0.9998,4.854007,dawn,spring,4.000,1677414,4650.000,4653.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref11_13821609,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,13821609,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13821609_crop_0.50s.wav,0.9986,3.995286,dawn,summer,7.000,1402222,168.000,174.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref51_9480305,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,9480305,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_9480305_crop_0.50s.wav,0.9995,3.427159,morning,winter,4.000,1539151,1827.000,1830.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref59_13308905,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,13308905,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13308905_crop_0.50s.wav,0.9971,3.397809,morning,summer,4.000,1402594,6678.000,6681.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref7_6606841,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,6606841,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6606841_crop_0.50s.wav,0.9994,3.127475,dawn,summer,7.000,1402608,3732.000,3738.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref55_6066203,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,6066203,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6066203_crop_0.50s.wav,0.9985,3.088683,morning,autumn,4.000,216261,1407.000,1410.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref19_6385636,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,6385636,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6385636_crop_0.50s.wav,0.9961,2.237592,dawn,winter,4.000,1539248,1332.000,1335.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref5_6143357,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,6143357,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6143357_crop_0.50s.wav,0.9995,1.885208,dawn,summer,4.000,1679151,3480.000,3483.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref12_882412,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,882412,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_882412_crop_0.50s.wav,0.9986,1.642456,dawn,winter,4.000,1535930,609.000,612.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref63_5717704,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,5717704,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_5717704_crop_0.50s.wav,0.9962,0.794195,morning,spring,4.000,1680769,555.000,558.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref16_3840998,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,3840998,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_3840998_crop_0.50s.wav,0.9973,0.668231,dawn,spring,4.000,1678493,1341.000,1344.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref60_4549369,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,4549369,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_4549369_crop_0.50s.wav,0.9970,0.380845,morning,winter,4.000,1535932,4965.000,4968.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref4_23534163,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,23534163,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_23534163_crop_0.50s.wav,0.9997,-0.215998,dawn,autumn,4.000,1671719,6036.000,6039.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref74_23844269,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,23844269,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_23844269_crop_0.50s.wav,0.9839,-1.320476,morning,summer,4.000,1402662,15.000,18.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref80_22638191,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,22638191,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_22638191_crop_0.50s.wav,0.9583,-1.383704,morning,winter,4.000,1536789,678.000,681.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
horsfields_bronze_cuckoo_ref73_20598228,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,20598228,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_20598228_crop_0.50s.wav,0.9859,-3.443154,morning,winter,4.000,1672183,162.000,165.000,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/manual_audit_horsfields_bronze_cuckoo_pass24_trainset.csv,Pass,
