asset_id,clip_path,layer,intensity,source,source_url,license,attribution,recording_id,season,sample_bin,notes
freesound_536223_rain_light,rain/light/freesound_536223_rain_light.wav,rain,light,Freesound,https://freesound.org/s/536223/,Creative Commons 0,Ambientsoundapp / Freesound,,,,public hq preview converted to 22050 Hz mono WAV
freesound_162572_rain_light,rain/light/freesound_162572_rain_light.wav,rain,light,Freesound,https://freesound.org/s/162572/,Creative Commons 0,remcovs / Freesound,,,,public hq preview converted to 22050 Hz mono WAV
freesound_704395_rain_moderate,rain/moderate/freesound_704395_rain_moderate.wav,rain,moderate,Freesound,https://freesound.org/s/704395/,Creative Commons 0,jgxxx / Freesound,,,,public hq preview converted to 22050 Hz mono WAV
freesound_518863_rain_moderate,rain/moderate/freesound_518863_rain_moderate.wav,rain,moderate,Freesound,https://freesound.org/s/518863/,Creative Commons 0,idomusics / Freesound,,,,public hq preview converted to 22050 Hz mono WAV
wikimedia_heavy_rain_glenshaw_rain_heavy,rain/heavy/wikimedia_heavy_rain_glenshaw_rain_heavy.wav,rain,heavy,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Heavy_rain_in_Glenshaw_PA.ogg,Creative Commons Attribution-ShareAlike 4.0,W.carter / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_heavy_rain_summer_rain_heavy,rain/heavy/wikimedia_heavy_rain_summer_rain_heavy.wav,rain,heavy,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Heavy_Rain_in_Summer.ogg,Creative Commons Attribution-ShareAlike 4.0,Sarang / Wikimedia Commons,,,,converted to 22050 Hz mono WAV
wikimedia_bourne_windy_0753_wind_light,wind/light/wikimedia_bourne_windy_0753_wind_light.wav,wind,light,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bourne_woods_windy_2020-05-05_0753.mp3,Creative Commons Attribution-ShareAlike 4.0,Acabashi / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_bourne_windy_0806_wind_light,wind/light/wikimedia_bourne_windy_0806_wind_light.wav,wind,light,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Bourne_woods_windy_2020-05-05_0806.mp3,Creative Commons Attribution-ShareAlike 4.0,Acabashi / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_vento_fisterra_wind_moderate,wind/moderate/wikimedia_vento_fisterra_wind_moderate.wav,wind,moderate,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Vento_fisterra.ogg,Creative Commons Attribution-ShareAlike 4.0,Elisardojm / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_abisko_wind_snow_wind_moderate,wind/moderate/wikimedia_abisko_wind_snow_wind_moderate.wav,wind,moderate,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:20221229_-_Abisko_Turiststation_at_night_-_Wind_and_snow.wav,Creative Commons Attribution-ShareAlike 4.0,Abisko Turiststation / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_howling_wind_wind_strong,wind/strong/wikimedia_howling_wind_wind_strong.wav,wind,strong,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Howling_wind.ogg,Creative Commons 0,Tvabutzku1234 / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
wikimedia_swedish_pine_25mps_wind_strong,wind/strong/wikimedia_swedish_pine_25mps_wind_strong.wav,wind,strong,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Wind_in_Swedish_pine_forest_at_25_mps.ogg,Creative Commons Attribution-ShareAlike 4.0,W.carter / Wikimedia Commons,,,,converted to 22050 Hz mono WAV and trimmed to 30 s
