segment_id,hour_sin,hour_cos,month_sin,month_cos,season_spring,season_summer,season_autumn,season_winter,diel_dawn,diel_morning,diel_afternoon,diel_night
1313184_clip009_s000,1.0,0.0,0.866025,-0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313184_clip017_s000,1.0,0.0,0.866025,-0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313184_clip022_s000,1.0,0.0,0.866025,-0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313190_clip004_s000,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313190_clip007_s000,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313190_clip014_s000,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313190_clip014_s001,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313190_clip019_s000,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313190_clip020_s000,-0.5,-0.866025,0.866025,-0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313284_clip002_s000,0.0,-1.0,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313284_clip011_s000,0.0,-1.0,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313284_clip014_s000,0.0,-1.0,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313284_clip014_s001,0.0,-1.0,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1313285_clip004_s000,1.0,0.0,0.5,-0.866025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313285_clip004_s001,1.0,0.0,0.5,-0.866025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313285_clip004_s002,1.0,0.0,0.5,-0.866025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313285_clip006_s000,1.0,0.0,0.5,-0.866025,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1313286_clip001_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip002_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip002_s001,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip003_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip003_s001,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip003_s002,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip003_s003,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip004_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip004_s001,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip005_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip007_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip008_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip009_s000,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip009_s001,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip009_s002,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1313286_clip009_s003,-0.5,0.866025,0.5,-0.866025,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
