audio_path,caption,status,asset_id,source_recording_id,overall_label,rain_confidence,rain_intensity,wind_intensity,pool_selection_rule
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/005__rec_214665__clip_008__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_005,214665,rain,0.591543,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/006__rec_214665__clip_008__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_006,214665,rain,0.587007,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/007__rec_214665__clip_008__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_007,214665,rain,0.582077,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/008__rec_216088__clip_019__win_00__rain_wind.wav,"steady rain with light wind over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_008,216088,rain+wind,0.421111,heavy,heavy,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/009__rec_216095__clip_020__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_009,216095,rain,0.587258,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/010__rec_216095__clip_020__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_010,216095,rain,0.597191,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/011__rec_216095__clip_021__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_011,216095,rain,0.597431,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/012__rec_216095__clip_021__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_012,216095,rain,0.597462,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/013__rec_216095__clip_021__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_013,216095,rain,0.598387,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/014__rec_216095__clip_022__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_014,216095,rain,0.58,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/015__rec_216095__clip_022__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_015,216095,rain,0.58583,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/016__rec_216095__clip_023__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_016,216095,rain,0.598184,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/017__rec_216095__clip_023__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_017,216095,rain,0.610166,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/018__rec_216095__clip_024__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_018,216095,rain,0.592386,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/019__rec_216095__clip_024__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_019,216095,rain,0.591172,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/020__rec_216095__clip_024__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_020,216095,rain,0.588403,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/021__rec_1313184__clip_004__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_021,1313184,rain,0.42,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/022__rec_1313184__clip_004__win_02__rain_wind.wav,"steady rain with light wind over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_022,1313184,rain+wind,0.58,light,light,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/023__rec_1313184__clip_005__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_023,1313184,rain,0.588137,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/024__rec_1313184__clip_010__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_024,1313184,rain,0.591183,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/025__rec_1313184__clip_010__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_025,1313184,rain,0.598923,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/026__rec_1313184__clip_011__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_026,1313184,rain,0.60379,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/027__rec_1313184__clip_011__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_027,1313184,rain,0.599922,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/028__rec_1313184__clip_011__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_028,1313184,rain,0.600162,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/029__rec_1313184__clip_012__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_029,1313184,rain,0.431633,light,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/030__rec_1313184__clip_012__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_030,1313184,rain,0.592983,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/031__rec_1313184__clip_013__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_031,1313184,rain,0.589073,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/032__rec_1313184__clip_013__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_032,1313184,rain,0.589903,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/033__rec_1313184__clip_013__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_033,1313184,rain,0.593882,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/034__rec_1313196__clip_001__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_034,1313196,rain,0.621714,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/035__rec_1313196__clip_001__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_035,1313196,rain,0.619863,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/036__rec_1313196__clip_001__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_036,1313196,rain,0.611927,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/037__rec_1313196__clip_002__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_037,1313196,rain,0.621391,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/038__rec_1313196__clip_002__win_01__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_038,1313196,rain,0.617363,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/039__rec_1313196__clip_002__win_02__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_039,1313196,rain,0.617885,heavy,none,all_non_1401640_human_audited_rain
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/040__rec_1313196__clip_003__win_00__rain.wav,"steady rain over dry eucalyptus woodland, Bowra, Australia",ok,rain_smoke_v0_040,1313196,rain,0.617056,heavy,none,all_non_1401640_human_audited_rain
