seed,source,batch_index,audio_path,review_status,reviewer_note,intensity,low_mid_ratio_db,crest_factor,spectral_centroid_hz,feature_source
42,showcase_seed_42,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_42_generated/audio.wav,accepted,user-audited good seed,light,7.562050,8.510414,1880.685781,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
43,showcase_seed_43,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_43_generated/audio.wav,accepted,user-audited good seed,light,7.960995,10.429825,1912.333172,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
44,showcase_seed_44,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_44_generated/audio.wav,accepted,user-audited good seed,light,9.364719,43.686128,1264.117895,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
46,showcase_seed_46,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_46_generated/audio.wav,accepted,user-audited good seed,heavy,12.692998,6.496470,1253.514793,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
48,showcase_seed_48,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_48_generated/audio.wav,accepted,user-audited good seed,heavy,17.761747,12.087236,740.430693,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
51,showcase_seed_51,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_51_generated/audio.wav,accepted,user-audited good seed,light,9.816043,31.137565,1551.891672,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
999983,bwe_validation_unseen_seeds,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_999983_generated/audio.wav,accepted,user-audited good seed,light,11.845283,20.222624,1105.015359,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
2000000001,bwe_validation_unseen_seeds,,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_2000000001_generated/audio.wav,accepted,user-audited good seed,heavy,14.142055,7.656429,797.904450,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
123456789,good_seed_first_batch_audit_20260607,05,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_123456789_generated/audio.wav,accepted,user-audited good seed,heavy,10.974119,6.690070,1244.829509,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
38891,good_seed_supplement_batch_20260607,03,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_38891_generated/audio.wav,accepted,user-audited good seed,light,3.391283,20.013703,3161.223482,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
69317,good_seed_supplement_batch_20260607,06,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_69317_generated/audio.wav,accepted,user-audited good seed,heavy,6.952223,12.055983,1936.530150,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
126481,good_seed_supplement_batch_20260607,09,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_126481_generated/audio.wav,accepted,user-audited good seed,light,9.712571,17.682777,1529.252240,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
349681,good_seed_supplement_batch_20260607,11,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_349681_generated/audio.wav,accepted,user-audited good seed,heavy,15.582262,11.213548,697.138901,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
1649669,good_seed_supplement_batch_20260607,20,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_1649669_generated/audio.wav,accepted,user-audited good seed,heavy,8.637702,9.192899,1732.459344,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
1860781,good_seed_supplement_batch_20260607,21,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_1860781_generated/audio.wav,accepted,user-audited good seed,heavy,10.877669,6.391941,1185.375374,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
3549697,good_seed_supplement_batch_20260607,29,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_3549697_generated/audio.wav,accepted,user-audited good seed,heavy,16.561763,6.116266,739.715338,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
4935269,good_seed_supplement_batch2_20260607,04,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_4935269_generated/audio.wav,accepted,user-audited good seed,light,9.134032,7.302118,1598.017589,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
7257523,good_seed_supplement_batch2_20260607,15,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_7257523_generated/audio.wav,accepted,user-audited good seed,light,2.995836,8.422122,2698.749450,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
8101981,good_seed_supplement_batch2_20260607,19,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_8101981_generated/audio.wav,accepted,user-audited good seed,heavy,9.698094,11.041782,1454.677327,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
9368669,good_seed_supplement_batch3_20260607,05,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_9368669_generated/audio.wav,accepted,user-audited good seed,light,8.209595,8.802470,1786.027180,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
10213123,good_seed_supplement_batch3_20260607,09,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_10213123_generated/audio.wav,accepted,user-audited good seed,heavy,11.982562,13.469842,953.551172,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
10424237,good_seed_supplement_batch3_20260607,10,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_10424237_generated/audio.wav,accepted,user-audited good seed,light,8.884093,11.624997,1629.062053,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
10635353,good_seed_supplement_batch3_20260607,11,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_10635353_generated/audio.wav,accepted,user-audited good seed,heavy,14.377225,11.574578,960.738708,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
11057581,good_seed_supplement_batch3_20260607,13,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_11057581_generated/audio.wav,accepted,user-audited good seed,light,10.693144,23.859383,1435.579111,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
11902037,good_seed_supplement_batch3_20260607,17,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_11902037_generated/audio.wav,accepted,user-audited good seed,heavy,15.649778,7.057347,832.232265,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
69323,good_seed_supplement_batch4_20260607,02,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_69323_generated/audio.wav,accepted,user-audited good seed,heavy,10.116068,11.518797,1635.149880,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
349687,good_seed_supplement_batch4_20260607,04,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_349687_generated/audio.wav,accepted,user-audited good seed,light,5.720089,7.627745,2381.953617,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
7257533,good_seed_supplement_batch4_20260607,09,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_7257533_generated/audio.wav,accepted,user-audited good seed,heavy,11.262163,10.524872,1240.862156,a2_intensity_audit_20260607/serverB_numpy_soundfile_v1
