audio_path,band_2_8khz_db,band_8_11khz_db,drop_8_11_minus_2_8_db
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/001__rec_214659__clip_016__win_02__rain_wind.wav,-69.21928405761719,-85.64488983154297,-16.42560577392578
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/002__rec_214659__clip_023__win_00__rain.wav,-70.8810043334961,-88.40093994140625,-17.519935607910156
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/003__rec_214659__clip_023__win_01__rain.wav,-69.8895034790039,-88.05183410644531,-18.162330627441406
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/004__rec_214659__clip_023__win_02__rain_wind.wav,-71.67543029785156,-89.86083984375,-18.185409545898438
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/005__rec_214665__clip_008__win_00__rain.wav,-79.27105712890625,-88.10472106933594,-8.833663940429688
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/006__rec_214665__clip_008__win_01__rain.wav,-79.48319244384766,-89.37547302246094,-9.892280578613281
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/007__rec_214665__clip_008__win_02__rain.wav,-79.99236297607422,-89.71051788330078,-9.718154907226562
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/008__rec_216088__clip_019__win_00__rain_wind.wav,-81.38568878173828,-96.0588150024414,-14.673126220703125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/009__rec_216095__clip_020__win_01__rain.wav,-83.48326110839844,-92.94454193115234,-9.461280822753906
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/010__rec_216095__clip_020__win_02__rain.wav,-83.59485626220703,-92.55339813232422,-8.958541870117188
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/011__rec_216095__clip_021__win_00__rain.wav,-69.38359832763672,-78.29195404052734,-8.908355712890625
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/012__rec_216095__clip_021__win_01__rain.wav,-72.90060424804688,-81.88375854492188,-8.983154296875
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/013__rec_216095__clip_021__win_02__rain.wav,-72.38961791992188,-81.9188461303711,-9.529228210449219
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/014__rec_216095__clip_022__win_00__rain.wav,-82.52266693115234,-91.1233139038086,-8.60064697265625
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/015__rec_216095__clip_022__win_01__rain.wav,-82.50749206542969,-91.35604858398438,-8.848556518554688
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/016__rec_216095__clip_023__win_00__rain.wav,-68.8555679321289,-77.47840881347656,-8.622840881347656
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/017__rec_216095__clip_023__win_02__rain.wav,-62.00227355957031,-68.71205139160156,-6.70977783203125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/018__rec_216095__clip_024__win_00__rain.wav,-47.73432540893555,-56.02224349975586,-8.287918090820312
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/019__rec_216095__clip_024__win_01__rain.wav,-47.17737579345703,-55.435462951660156,-8.258087158203125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/020__rec_216095__clip_024__win_02__rain.wav,-46.40319061279297,-54.63115310668945,-8.227962493896484
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/021__rec_1313184__clip_004__win_01__rain.wav,-86.22813415527344,-96.04598999023438,-9.817855834960938
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/022__rec_1313184__clip_004__win_02__rain_wind.wav,-86.8671646118164,-96.30157470703125,-9.434410095214844
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/023__rec_1313184__clip_005__win_02__rain.wav,-84.77925872802734,-94.89173126220703,-10.112472534179688
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/024__rec_1313184__clip_010__win_00__rain.wav,-75.73875427246094,-87.00259399414062,-11.263839721679688
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/025__rec_1313184__clip_010__win_01__rain.wav,-76.79362487792969,-87.54393005371094,-10.75030517578125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/026__rec_1313184__clip_011__win_00__rain.wav,-75.91294860839844,-86.56087493896484,-10.647926330566406
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/027__rec_1313184__clip_011__win_01__rain.wav,-76.10221862792969,-86.41230773925781,-10.310089111328125
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/028__rec_1313184__clip_011__win_02__rain.wav,-74.60009002685547,-85.36408996582031,-10.763999938964844
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/029__rec_1313184__clip_012__win_00__rain.wav,-71.2115707397461,-84.37387084960938,-13.162300109863281
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/030__rec_1313184__clip_012__win_02__rain.wav,-70.22379302978516,-82.6851806640625,-12.461387634277344
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/031__rec_1313184__clip_013__win_00__rain.wav,-79.27371978759766,-91.60321807861328,-12.329498291015625
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/032__rec_1313184__clip_013__win_01__rain.wav,-79.86189270019531,-91.46475982666016,-11.602867126464844
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/033__rec_1313184__clip_013__win_02__rain.wav,-79.35999298095703,-91.29061889648438,-11.930625915527344
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/034__rec_1313196__clip_001__win_00__rain.wav,-60.82836151123047,-71.64554595947266,-10.817184448242188
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/035__rec_1313196__clip_001__win_01__rain.wav,-61.123023986816406,-72.05614471435547,-10.933120727539062
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/036__rec_1313196__clip_001__win_02__rain.wav,-62.01731872558594,-71.78880310058594,-9.771484375
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/037__rec_1313196__clip_002__win_00__rain.wav,-65.92790985107422,-76.6627426147461,-10.734832763671875
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/038__rec_1313196__clip_002__win_01__rain.wav,-66.37167358398438,-77.53995513916016,-11.168281555175781
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/039__rec_1313196__clip_002__win_02__rain.wav,-66.10184478759766,-76.8039779663086,-10.702133178710938
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/040__rec_1313196__clip_003__win_00__rain.wav,-65.49003601074219,-75.79085540771484,-10.300819396972656
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/041__rec_1313196__clip_003__win_01__rain.wav,-63.84484100341797,-75.09098815917969,-11.246147155761719
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/042__rec_1313196__clip_003__win_02__rain.wav,-63.674381256103516,-74.95156860351562,-11.27718734741211
debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/043__rec_1313196__clip_004__win_00__rain.wav,-67.37078857421875,-78.60254669189453,-11.231758117675781
