seed,sample_rate_hz,sbr_source_band_hz,sbr_target_band_hz,noise_band_hz,envelope_source_band_hz,envelope_smooth_ms,noise_to_sbr_rms_ratio,sbr_rms,noise_rms,highband_rms,sbr_path,noise_path,highband_path
seed_42_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.023134418432927364,0.008097046531134239,0.02441820696356512,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_42_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_42_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_42_generated/audio_highband_candidate_8_12k.wav
seed_43_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.012387510220294934,0.004335628526806143,0.01308650290849665,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_43_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_43_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_43_generated/audio_highband_candidate_8_12k.wav
seed_44_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.012342769113601312,0.0043199690683231335,0.013051621568702846,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_44_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_44_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_44_generated/audio_highband_candidate_8_12k.wav
seed_45_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.02581607125305011,0.009035625229745704,0.02741870611435019,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_45_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_45_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_45_generated/audio_highband_candidate_8_12k.wav
seed_46_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.011721351480502056,0.004102473123487582,0.012399213009344061,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_46_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_46_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_46_generated/audio_highband_candidate_8_12k.wav
seed_47_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.021616491436564023,0.007565771804555688,0.022803202415068495,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_47_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_47_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_47_generated/audio_highband_candidate_8_12k.wav
seed_48_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.004696384985194572,0.0016437349875554554,0.004975728855300203,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_48_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_48_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_48_generated/audio_highband_candidate_8_12k.wav
seed_49_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.01654505718121085,0.00579077012448993,0.017533944993454183,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_49_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_49_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_49_generated/audio_highband_candidate_8_12k.wav
seed_50_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.005718237893576134,0.002001383415160041,0.0060532520372541115,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_50_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_50_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_50_generated/audio_highband_candidate_8_12k.wav
seed_51_generated,24000,4000-7900,8000-11800,8000-11800,3000-7900,35,0.35,0.006414255660332658,0.002244989670740528,0.006782234258310584,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/sbr_copy_8_12k/seed_51_generated/audio_sbr_copy_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/noise_fill_8_12k/seed_51_generated/audio_noise_fill_8_12k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase3_highband_synthesis_24k/highband_candidate_8_12k/seed_51_generated/audio_highband_candidate_8_12k.wav
