seed,output_wav,metadata,target_drop_db,lowband_2_8khz_db,target_high_8_11khz_db,highband_8_11khz_before_db,highband_gain_db,highband_8_11khz_after_db,mixed_2_8khz_db,mixed_8_11khz_db,mixed_drop_db,limiter_gain
seed_42_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_42_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_42_generated/metadata.json,-10.985337681240505,-59.96993637084961,-70.95527405209012,-58.33054733276367,-12.624726719326446,-70.98218536376953,-59.7421760559082,-70.69416809082031,-10.95199203491211,1.0
seed_43_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_43_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_43_generated/metadata.json,-10.985337681240505,-63.73850631713867,-74.72384399837918,-64.51771545410156,-10.206128544277618,-74.75039672851562,-63.765892028808594,-74.76205444335938,-10.996162414550781,1.0
seed_44_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_44_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_44_generated/metadata.json,-10.985337681240505,-63.9698371887207,-74.95517486996121,-64.0241928100586,-10.930982059902618,-74.981689453125,-64.00493621826172,-74.9920654296875,-10.987129211425781,0.9264149538372217
seed_45_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_45_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_45_generated/metadata.json,-10.985337681240505,-58.64908981323242,-69.63442749447293,-57.86673355102539,-11.76769394344754,-69.66168212890625,-58.48541259765625,-69.47283172607422,-10.987419128417969,1.0
seed_46_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_46_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_46_generated/metadata.json,-10.985337681240505,-64.24810791015625,-75.23344559139676,-64.32665252685547,-10.90679306454129,-75.26263427734375,-64.1595458984375,-75.1211929321289,-10.961647033691406,1.0
seed_47_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_47_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_47_generated/metadata.json,-10.985337681240505,-58.896400451660156,-69.88173813290067,-58.911659240722656,-10.970078892178009,-69.91029357910156,-58.956695556640625,-69.93910217285156,-10.982406616210938,1.0
seed_48_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_48_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_48_generated/metadata.json,-10.985337681240505,-70.93294525146484,-81.91828293270535,-73.1551742553711,-8.763108677334259,-81.94430541992188,-70.15412139892578,-81.07443237304688,-10.920310974121094,1.0
seed_49_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_49_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_49_generated/metadata.json,-10.985337681240505,-61.363685607910156,-72.34902328915067,-61.40425109863281,-10.944772190517853,-72.377197265625,-61.40411376953125,-72.39288330078125,-10.98876953125,1.0
seed_50_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_50_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_50_generated/metadata.json,-10.985337681240505,-70.43850708007812,-81.42384476131863,-70.38922882080078,-11.034615940517853,-81.45043182373047,-69.98403930664062,-80.9420394897461,-10.958000183105469,1.0
seed_51_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_51_generated/audio_bwe_24k.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_51_generated/metadata.json,-10.985337681240505,-69.40658569335938,-80.39192337459988,-69.5746841430664,-10.817239231533478,-80.4188461303711,-69.28961181640625,-80.25312042236328,-10.963508605957031,1.0
