seed,before_path,after_path,before_2_8khz_db,before_8_11khz_db,before_drop_db,after_2_8khz_db,after_8_11khz_db,after_drop_db
seed_42_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_42_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_42_generated/audio_bwe_24k.wav,-59.95014572143555,-102.12913513183594,-42.17898941040039,-59.742191314697266,-70.69420623779297,-10.952014923095703
seed_43_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_43_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_43_generated/audio_bwe_24k.wav,-63.71946334838867,-106.75347900390625,-43.03401565551758,-63.765869140625,-74.76197814941406,-10.996109008789062
seed_44_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_44_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_44_generated/audio_bwe_24k.wav,-63.950584411621094,-106.95309448242188,-43.00251007080078,-64.00491333007812,-74.99208068847656,-10.987167358398438
seed_45_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_45_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_45_generated/audio_bwe_24k.wav,-58.63026809692383,-103.29705810546875,-44.66679000854492,-58.48540496826172,-69.47286987304688,-10.987464904785156
seed_46_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_46_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_46_generated/audio_bwe_24k.wav,-64.22895812988281,-104.98420715332031,-40.7552490234375,-64.15955352783203,-75.12112426757812,-10.961570739746094
seed_47_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_47_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_47_generated/audio_bwe_24k.wav,-58.878273010253906,-102.6474838256836,-43.76921081542969,-58.956695556640625,-69.93907165527344,-10.982376098632812
seed_48_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_48_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_48_generated/audio_bwe_24k.wav,-70.912841796875,-107.26948547363281,-36.35664367675781,-70.15410614013672,-81.07443237304688,-10.920326232910156
seed_49_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_49_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_49_generated/audio_bwe_24k.wav,-61.34482192993164,-104.4050064086914,-43.060184478759766,-61.404090881347656,-72.39280700683594,-10.988716125488281
seed_50_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_50_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_50_generated/audio_bwe_24k.wav,-70.41790771484375,-109.04843139648438,-38.630523681640625,-69.98404693603516,-80.94200897216797,-10.957962036132812
seed_51_generated,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_51_generated/audio.wav,/Users/murphy/Documents/Codex/2026-05-28/spacerobot-268369-comp-6000-capstone2-https-2/acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/spectrum_diagnostic_20260606/bwe_prototype/phase4_bwe_mixed_24k/outputs/seed_51_generated/audio_bwe_24k.wav,-69.38727569580078,-107.8010025024414,-38.413726806640625,-69.28959655761719,-80.2529525756836,-10.963356018066406
