group,name,path,duration_s,peak,mean_0_2k_db,mean_2_8k_db,mean_8_11k_db,ratio_2_8_minus_0_2_db
showcase_generated,seed_42_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_42_generated/audio.wav,5.0,0.432054,-60.822968,-60.32407,-102.087784,0.498898
showcase_generated,seed_43_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_43_generated/audio.wav,5.0,0.324519,-57.194515,-64.108566,-107.618767,-6.914051
showcase_generated,seed_44_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_44_generated/audio.wav,5.0,0.989895,-56.91021,-64.332886,-107.208557,-7.422676
showcase_generated,seed_45_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_45_generated/audio.wav,5.0,0.933925,-56.075306,-59.014332,-103.212715,-2.939026
showcase_generated,seed_46_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_46_generated/audio.wav,5.0,0.321248,-53.810154,-64.604561,-105.421501,-10.794407
showcase_generated,seed_47_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_47_generated/audio.wav,5.0,0.524743,-55.229446,-59.25922,-102.949318,-4.029774
showcase_generated,seed_48_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_48_generated/audio.wav,5.0,0.58924,-53.501167,-71.285736,-107.722343,-17.784569
showcase_generated,seed_49_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_49_generated/audio.wav,5.0,0.334233,-59.887413,-61.730526,-105.17157,-1.843113
showcase_generated,seed_50_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_50_generated/audio.wav,5.0,0.225297,-54.405495,-70.79406,-109.381538,-16.388565
showcase_generated,seed_51_generated,acoustic_ai/layers/layer_b/attempts/murphy__smoke_1__audioldm2_rain/showcase/seed_51_generated/audio.wav,5.0,0.948572,-60.666771,-69.767639,-108.092926,-9.100868
training_real,001__rec_214659__clip_016__win_02__rain_wind,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/001__rec_214659__clip_016__win_02__rain_wind.wav,5.0,0.682861,-50.310425,-69.219261,-85.644913,-18.908836
training_real,002__rec_214659__clip_023__win_00__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/002__rec_214659__clip_023__win_00__rain.wav,5.0,1.0,-49.096806,-70.88105,-88.400948,-21.784245
training_real,003__rec_214659__clip_023__win_01__rain,debug/murphy_layer_b_rain_smoke_training_pool_v0_20260606/audio/003__rec_214659__clip_023__win_01__rain.wav,5.0,0.848877,-49.999802,-69.889465,-88.051811,-19.889664
