audio_path,caption,status,asset_id,source_recording_id,wind_intensity,contamination_score,quality_flags
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_445592_001567_001582.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_445592_001567_001582,445592,medium,0.246638,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_445592_003252_003267.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_445592_003252_003267,445592,medium,0.253771,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_445592_006342_006357.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_445592_006342_006357,445592,medium,0.262554,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1400024_005131_005146.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1400024_005131_005146,1400024,medium,0.209204,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1400024_000225_000240.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1400024_000225_000240,1400024,medium,0.221309,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215185_002576_002591.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215185_002576_002591,215185,medium,0.274135,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215185_001732_001747.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215185_001732_001747,215185,medium,0.279155,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_4881_005831_005846.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_4881_005831_005846,4881,medium,0.269408,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215467_003974_003989.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215467_003974_003989,215467,medium,0.242231,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215467_002353_002368.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215467_002353_002368,215467,medium,0.242584,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215467_006489_006504.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215467_006489_006504,215467,medium,0.243315,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_214503_003510_003525.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_214503_003510_003525,214503,medium,0.223317,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_214503_005443_005458.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_214503_005443_005458,214503,medium,0.242651,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1536675_005667_005682.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1536675_005667_005682,1536675,medium,0.243804,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1534209_002816_002831.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1534209_002816_002831,1534209,medium,0.203043,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215191_006457_006472.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215191_006457_006472,215191,medium,0.236391,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_4887_000478_000493.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_4887_000478_000493,4887,medium,0.229520,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1679611_002125_002140.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1679611_002125_002140,1679611,medium,0.253762,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1679611_002145_002160.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1679611_002145_002160,1679611,medium,0.258981,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1401701_005802_005817.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1401701_005802_005817,1401701,medium,0.243991,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1535362_005982_005997.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1535362_005982_005997,1535362,medium,0.207737,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1535362_003737_003752.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1535362_003737_003752,1535362,medium,0.278793,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1401104_001140_001155.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1401104_001140_001155,1401104,medium,0.233711,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_5413_002074_002089.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_5413_002074_002089,5413,medium,0.252322,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_1401100_000997_001012.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_1401100_000997_001012,1401100,medium,0.267752,site_ready;server_a_promoted;local_staging
acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/wind_primary/wind_primary__wind__site257_215192_001929_001944.wav,"steady wind through dry eucalyptus woodland, gentle natural breeze, Bowra, Australia",ok,site_mvp002_site257_215192_001929_001944,215192,medium,0.247584,site_ready;server_a_promoted;local_staging
