species_common_name,species_slug,audio_event_id,item_dir,package_status,source_resolution_kind,source_audio_resolved
Australian Raven,australian_raven,20185901,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/001_audioevent_20185901,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/001_audioevent_20185901/downloaded_source.webm
Australian Raven,australian_raven,1454214,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/002_audioevent_1454214,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/002_audioevent_1454214/downloaded_source.webm
Australian Raven,australian_raven,15474618,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/003_audioevent_15474618,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/003_audioevent_15474618/downloaded_source.webm
Australian Raven,australian_raven,7380136,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/004_audioevent_7380136,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/005_audioevent_7380136/downloaded_source.webm
Australian Raven,australian_raven,19854858,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/005_audioevent_19854858,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/006_audioevent_19854858/downloaded_source.webm
Australian Raven,australian_raven,10290911,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/006_audioevent_10290911,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/007_audioevent_10290911/downloaded_source.webm
Australian Raven,australian_raven,14096954,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/007_audioevent_14096954,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/008_audioevent_14096954/downloaded_source.webm
Australian Raven,australian_raven,7247656,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/008_audioevent_7247656,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/009_audioevent_7247656/downloaded_source.webm
Australian Raven,australian_raven,24065228,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/009_audioevent_24065228,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/010_audioevent_24065228/downloaded_source.webm
Australian Raven,australian_raven,17877011,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2_s3reuse/australian_raven/samples/010_audioevent_17877011,packaged,s3_downloaded_clip,acoustic_ai/layers/layer_c/attempts/burger__mvp_2__retrieval_v2_library/data/media_asset_bank/review_package_full_v2/australian_raven/samples/011_audioevent_17877011/downloaded_source.webm
