asset_id,clip_path,source_type,source_site_id,source_recording_id,start_s,end_s,duration_s,primary_weather,has_rain,has_wind,has_thunder,rain_intensity,wind_intensity,thunder_intensity,mixed_weather,layer_d_role,layer_d_use,analysis_use,analysis_label_quality,human_audit_status,human_weather_label,human_notes,clap_rain_score,clap_wind_score,clap_thunder_score,clap_top_label,contamination_label,env_bucket,quality_flags,run_id
site_mvp002_site257_1401640_003387_003402,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1401640_003387_003402.wav,site,257,1401640,3387.0,3402.0,15.0,rain,true,false,false,heavy,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready;light_rain_audit001,rain,light rain audit001: changed rain intensity from light to heavy,0.410855,0.187865,0.273617,rain,human_or_machine,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1313196_000778_000793,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1313196_000778_000793.wav,site,257,1313196,778.0,793.0,15.0,rain,true,false,false,medium,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain,clear_rain_target_score,0.366741,0.074902,0.075428,rain,human_or_machine,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1313196_000202_000217,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1313196_000202_000217.wav,site,257,1313196,202.0,217.0,15.0,rain,true,false,false,medium,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain,clear_rain_target_score,0.342934,0.076268,0.108331,rain,bird_or_insect,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1313196_001630_001645,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1313196_001630_001645.wav,site,257,1313196,1630.0,1645.0,15.0,rain,true,false,false,medium,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain,clear_rain_target_score,0.352952,0.101963,0.135588,rain,bird_or_insect,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1313196_001218_001233,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1313196_001218_001233.wav,site,257,1313196,1218.0,1233.0,15.0,rain,true,false,false,medium,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain,clear_rain_target_score,0.333615,0.089894,0.089269,rain,human_or_machine,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_214665_001923_001938,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_214665_001923_001938.wav,site,257,214665,1923.0,1938.0,15.0,rain,true,false,false,light,none,none,false,rain_primary,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain,clear_rain_target_score,0.35807,0.186144,0.118117,rain,human_or_machine,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1313184_006689_006704,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1313184_006689_006704.wav,site,257,1313184,6689.0,6704.0,15.0,rain+wind,true,true,false,medium,medium,none,true,rain_wind_mixed,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain+wind,usable_rain_with_wind_overlap,0.35162,0.383307,0.323979,wind,bird_or_insect,storm_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_1539525_006050_006065,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1539525_006050_006065.wav,site,257,1539525,6050.0,6065.0,15.0,rain+wind,true,true,false,medium,medium,none,true,rain_wind_mixed,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain+wind,usable_rain_with_wind_overlap,0.410573,0.433329,0.274216,wind,human_or_machine,rain_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_216095_006349_006364,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_216095_006349_006364.wav,site,257,216095,6349.0,6364.0,15.0,rain+wind,true,true,false,medium,medium,none,true,rain_wind_mixed,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain+wind,usable_rain_with_wind_overlap,0.343928,0.359122,0.255096,wind,human_or_machine,wind_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
site_mvp002_site257_214659_006775_006790,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214659_006775_006790.wav,site,257,214659,6775.0,6790.0,15.0,rain+wind,true,true,false,medium,medium,none,true,rain_wind_mixed,primary,site_ready_pool,site_policy_v03_provisional,site_ready,rain+wind,usable_rain_with_wind_overlap,0.458888,0.502697,0.450709,wind,human_or_machine,storm_env_prior,site_ready;server_a_promoted;local_staging,site_mvp_002_rain_expansion
