validation_role,filename,source_s3_uri,source_recording_id,source_clip_num,window_index,murphy_pool_label,eb_overall_label,eb_rain_present,eb_rain_intensity,eb_rain_confidence,eb_wind_present,eb_wind_intensity,eb_wind_confidence,eb_thunder_present,eb_thunder_intensity,eb_thunder_confidence
external_cross_check_not_training_data,001__rec_214659__clip_016__win_02__rain_wind.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_016.webm,214659,16,2,rain+wind,rain+wind,True,heavy,0.42056,True,heavy,0.586876,False,none,0.25317
external_cross_check_not_training_data,002__rec_214659__clip_023__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_023.webm,214659,23,0,rain,rain,True,light,0.428503,False,none,0.268128,False,none,0.30685
external_cross_check_not_training_data,003__rec_214659__clip_023__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_023.webm,214659,23,1,rain,rain,True,light,0.42316,False,none,0.266045,False,none,0.274589
external_cross_check_not_training_data,004__rec_214659__clip_023__win_02__rain_wind.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_023.webm,214659,23,2,rain+wind,rain+wind,True,light,0.42,True,heavy,0.59143,False,none,0.243602
external_cross_check_not_training_data,005__rec_214665__clip_008__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214665/site_257_item_214665_clip_008.webm,214665,8,0,rain,rain,True,heavy,0.591543,False,none,0.228807,False,none,0.219619
external_cross_check_not_training_data,006__rec_214665__clip_008__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214665/site_257_item_214665_clip_008.webm,214665,8,1,rain,rain,True,heavy,0.587007,False,none,0.23405,False,none,0.215666
external_cross_check_not_training_data,007__rec_214665__clip_008__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214665/site_257_item_214665_clip_008.webm,214665,8,2,rain,rain,True,light,0.582077,False,none,0.235455,False,none,0.210451
external_cross_check_not_training_data,008__rec_216088__clip_019__win_00__rain_wind.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216088/site_257_item_216088_clip_019.webm,216088,19,0,rain+wind,rain+wind,True,heavy,0.421111,True,heavy,0.592404,False,none,0.232294
external_cross_check_not_training_data,009__rec_216095__clip_020__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_020.webm,216095,20,1,rain,rain,True,light,0.587258,False,none,0.250668,False,none,0.222765
external_cross_check_not_training_data,010__rec_216095__clip_020__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_020.webm,216095,20,2,rain,rain,True,heavy,0.597191,False,none,0.258634,False,none,0.225812
external_cross_check_not_training_data,011__rec_216095__clip_021__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_021.webm,216095,21,0,rain,rain,True,heavy,0.59743,False,none,0.255717,False,none,0.248545
external_cross_check_not_training_data,012__rec_216095__clip_021__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_021.webm,216095,21,1,rain,rain,True,heavy,0.597462,False,none,0.263211,False,none,0.234343
external_cross_check_not_training_data,013__rec_216095__clip_021__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_021.webm,216095,21,2,rain,rain,True,heavy,0.598387,False,none,0.260093,False,none,0.23519
external_cross_check_not_training_data,014__rec_216095__clip_022__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_022.webm,216095,22,0,rain,rain,True,light,0.58,False,none,0.257812,False,none,0.223635
external_cross_check_not_training_data,015__rec_216095__clip_022__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_022.webm,216095,22,1,rain,rain,True,heavy,0.58583,False,none,0.26346,False,none,0.229962
external_cross_check_not_training_data,016__rec_216095__clip_023__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_023.webm,216095,23,0,rain,rain,True,heavy,0.598185,False,none,0.251873,False,none,0.296064
external_cross_check_not_training_data,017__rec_216095__clip_023__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_023.webm,216095,23,2,rain,rain,True,heavy,0.610166,False,none,0.233522,False,none,0.299811
external_cross_check_not_training_data,018__rec_216095__clip_024__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_024.webm,216095,24,0,rain,rain,True,heavy,0.592386,False,none,0.220053,False,none,0.217405
external_cross_check_not_training_data,019__rec_216095__clip_024__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_024.webm,216095,24,1,rain,rain,True,heavy,0.591172,False,none,0.222838,False,none,0.217061
external_cross_check_not_training_data,020__rec_216095__clip_024__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216095/site_257_item_216095_clip_024.webm,216095,24,2,rain,rain,True,heavy,0.588403,False,none,0.227022,False,none,0.215044
external_cross_check_not_training_data,021__rec_1313184__clip_004__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_004.webm,1313184,4,1,rain,rain,True,light,0.42,False,none,0.26353,False,none,0.223797
external_cross_check_not_training_data,022__rec_1313184__clip_004__win_02__rain_wind.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_004.webm,1313184,4,2,rain+wind,rain+wind,True,light,0.58,True,light,0.581368,False,none,0.23079
external_cross_check_not_training_data,023__rec_1313184__clip_005__win_02__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_005.webm,1313184,5,2,rain,rain,True,heavy,0.588137,False,none,0.258504,False,none,0.224087
external_cross_check_not_training_data,024__rec_1313184__clip_010__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_010.webm,1313184,10,0,rain,rain,True,light,0.591183,False,none,0.260992,False,none,0.227913
external_cross_check_not_training_data,025__rec_1313184__clip_010__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_010.webm,1313184,10,1,rain,rain,True,heavy,0.598923,False,none,0.254884,False,none,0.229855
external_cross_check_not_training_data,026__rec_1313184__clip_011__win_00__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_011.webm,1313184,11,0,rain,rain,True,heavy,0.60379,False,none,0.255942,False,none,0.231309
external_cross_check_not_training_data,027__rec_1313184__clip_011__win_01__rain.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_011.webm,1313184,11,1,rain,rain,True,heavy,0.599922,False,none,0.253564,False,none,0.227677
