clip_id,final_rank,final_score,gate_status,retrieval_target,target_clap_score,target_vs_other_weather_margin,clap_weather_label,clap_weather_score,clap_rain_score,clap_wind_score,clap_thunder_score,contamination_label,contamination_score,weather_margin,env_prior_for_clap_label,audio_quality_proxy,analysis_asset_role,analysis_wav_sample_rate_hz,analysis_wav_channels,analysis_wav_duration_seconds,analysis_rms_dbfs,analysis_peak_dbfs,analysis_clipping_ratio,preview_asset_only,layer_d_asset_status,layer_d_target_sample_rate_hz,layer_d_target_channels,layer_d_recommended_format,target_env_prior,env_bucket,preview_path,wav_path,source_s3_uri,s3_key,site_id,recording_id,item_id,recorded_date_utc,sample_bin,sample_local_date,coarse_clip_num,coarse_size_bytes,coarse_inner_start_seconds,recording_start_offset_seconds,duration_seconds,precipitation_mm,precipitation_daily_mm,wind_speed_ms,wind_max_ms,humidity_pct,temperature_c,human_weather_label,human_intensity_label,human_accept,human_reject_reason,notes,pool_decision,pool_category,pool_label,pool_intensity_hint,pool_reason,manual_review_priority,layer_d_ready,layer_d_export_action,candidate_pool_policy_version,layer_d_asset_path,layer_d_asset_format,promotion_policy_version,layer_d_asset_sample_rate_hz,layer_d_asset_channels,layer_d_asset_duration_seconds
site257_1401640_003387_003402,1,0.498438,candidate,rain,0.408754,0.06702,rain,0.408754,0.408754,0.199064,0.341734,human_or_machine,0.082514,0.32624,0.45,0.82624,clap_scoring_window,48000,1,15.0,-26.967,-0.867,0.0,true,ready,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0052_site257_1401640_003387_003402.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0052_site257_1401640_003387_003402.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_012.webm,site_257_item_1401640/site_257_item_1401640_clip_012.webm,257,1401640,1401640,2023-12-13T12:00:00.000Z,night,2023-12-13,012,2419919,87.0,3387.0,15.0,0.42,0.23,3.2,5.96,64.38,27.93,,,,,,accept,rain_primary,rain,light,clear_rain_target_score,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_primary/rain_primary__rain__site257_1401640_003387_003402.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1313196_001218_001233,2,0.481515,candidate,rain,0.375557,0.262823,rain,0.375557,0.375557,0.090563,0.112733,bird_or_insect,0.02604,0.349517,0.45,0.849517,clap_scoring_window,48000,1,15.0,-34.942,-8.498,0.0,true,ready,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0047_site257_1313196_001218_001233.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0047_site257_1313196_001218_001233.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_005.webm,site_257_item_1313196/site_257_item_1313196_clip_005.webm,257,1313196,1313196,2023-04-28T23:30:31.000Z,morning,2023-04-29,005,2470971,18.0,1218.0,15.0,1.07,0.06,2.89,4.88,75.14,15.08,,,,,,accept,rain_primary,rain,medium,clear_rain_target_score,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_primary/rain_primary__rain__site257_1313196_001218_001233.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1313196_000778_000793,3,0.457089,candidate,rain,0.35112,0.267076,rain,0.35112,0.35112,0.059123,0.084044,human_or_machine,0.044314,0.306806,0.45,0.806806,clap_scoring_window,48000,1,15.0,-33.417,0.0,1e-06,true,ready,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0048_site257_1313196_000778_000793.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0048_site257_1313196_000778_000793.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_003.webm,site_257_item_1313196/site_257_item_1313196_clip_003.webm,257,1313196,1313196,2023-04-28T23:30:31.000Z,morning,2023-04-29,003,2506679,178.0,778.0,15.0,1.07,0.06,2.89,4.88,75.14,15.08,,,,,,accept,rain_primary,rain,medium,clear_rain_target_score,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_primary/rain_primary__rain__site257_1313196_000778_000793.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1313196_000202_000217,4,0.44299,candidate,rain,0.338022,0.233073,rain,0.338022,0.338022,0.063294,0.104949,bird_or_insect,0.059145,0.278877,0.45,0.778877,clap_scoring_window,48000,1,15.0,-34.155,-1.338,0.0,true,ready,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0046_site257_1313196_000202_000217.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0046_site257_1313196_000202_000217.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313196/site_257_item_1313196_clip_001.webm,site_257_item_1313196/site_257_item_1313196_clip_001.webm,257,1313196,1313196,2023-04-28T23:30:31.000Z,morning,2023-04-29,001,2499535,202.0,202.0,15.0,1.07,0.06,2.89,4.88,75.14,15.08,,,,,,accept,rain_primary,rain,medium,clear_rain_target_score,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_primary/rain_primary__rain__site257_1313196_000202_000217.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1313184_006689_006704,6,0.526519,maybe_target_confused_with_other_weather,rain,0.386158,-0.012614,wind,0.398771,0.386158,0.398771,0.316277,human_or_machine,0.177269,0.208888,0.9,0.708888,clap_scoring_window,48000,1,15.0,-33.264,-14.263,0.0,true,ready,22050,1,wav,0.9,storm_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0008_site257_1313184_006689_006704.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0008_site257_1313184_006689_006704.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_023.webm,site_257_item_1313184/site_257_item_1313184_clip_023.webm,257,1313184,1313184,2023-04-28T20:06:08.000Z,dawn,2023-04-29,023,1672964,89.0,6689.0,15.0,5.88,0.06,6.01,4.88,81.07,14.53,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1313184_006689_006704.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1539525_006050_006065,7,0.43135,maybe_target_confused_with_other_weather,rain,0.383664,-0.005939,wind,0.389602,0.383664,0.389602,0.300933,human_or_machine,0.308352,0.075311,0.45,0.575311,clap_scoring_window,48000,1,15.0,-38.757,-24.314,0.0,true,ready,22050,1,wav,0.45,rain_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0077_site257_1539525_006050_006065.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0077_site257_1539525_006050_006065.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1539525/site_257_item_1539525_clip_021.webm,site_257_item_1539525/site_257_item_1539525_clip_021.webm,257,1539525,1539525,2024-07-09T12:00:00.000Z,night,2024-07-09,021,2041254,50.0,6050.0,15.0,0.35,0.13,1.36,3.45,94.45,8.98,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1539525_006050_006065.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_214659_006775_006790,37,0.564232,reject_target_outcompeted_by_other_weather,rain,0.43517,-0.071833,wind,0.507003,0.43517,0.507003,0.420325,human_or_machine,0.167395,0.267775,0.9,0.767775,clap_scoring_window,48000,1,15.0,-22.363,-5.443,0.0,true,ready,22050,1,wav,0.9,storm_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0004_site257_214659_006775_006790.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0004_site257_214659_006775_006790.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_023.webm,site_257_item_214659/site_257_item_214659_clip_023.webm,257,214659,214659,2019-11-03T04:00:00.000Z,afternoon,2019-11-03,023,2064979,175.0,6775.0,15.0,220.58,77.69,4.79,7.1,84.44,22.3,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214659_006775_006790.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_1313184_006181_006196,38,0.478246,reject_target_outcompeted_by_other_weather,rain,0.360357,-0.151027,wind,0.511384,0.360357,0.511384,0.304417,human_or_machine,0.239773,0.120584,0.9,0.620584,clap_scoring_window,48000,1,15.0,-32.951,-15.392,0.0,true,ready,22050,1,wav,0.9,storm_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0009_site257_1313184_006181_006196.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0009_site257_1313184_006181_006196.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_021.webm,site_257_item_1313184/site_257_item_1313184_clip_021.webm,257,1313184,1313184,2023-04-28T20:06:08.000Z,dawn,2023-04-29,021,2037605,181.0,6181.0,15.0,5.88,0.06,6.01,4.88,81.07,14.53,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1313184_006181_006196.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_214659_001523_001538,39,0.475082,reject_target_outcompeted_by_other_weather,rain,0.361646,-0.170261,thunder,0.531908,0.361646,0.51431,0.531908,bird_or_insect,0.251454,0.110192,0.9,0.610192,clap_scoring_window,48000,1,15.0,-28.063,-3.742,0.0,true,ready,22050,1,wav,0.9,storm_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0006_site257_214659_001523_001538.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0006_site257_214659_001523_001538.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214659/site_257_item_214659_clip_006.webm,site_257_item_214659/site_257_item_214659_clip_006.webm,257,214659,214659,2019-11-03T04:00:00.000Z,afternoon,2019-11-03,006,2039074,23.0,1523.0,15.0,220.58,77.69,4.79,7.1,84.44,22.3,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214659_001523_001538.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
site257_216086_006050_006065,40,0.458183,reject_target_outcompeted_by_other_weather,rain,0.418431,-0.124496,wind,0.542927,0.418431,0.542927,0.415653,human_or_machine,0.262668,0.155763,0.45,0.655763,clap_scoring_window,48000,1,15.0,-31.814,-11.681,0.0,true,ready,22050,1,wav,0.45,rain_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0034_site257_216086_006050_006065.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0034_site257_216086_006050_006065.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216086/site_257_item_216086_clip_021.webm,site_257_item_216086/site_257_item_216086_clip_021.webm,257,216086,216086,2020-03-01T20:00:00.000Z,dawn,2020-03-02,021,2033815,50.0,6050.0,15.0,0.01,0.0,1.04,3.29,30.12,23.71,,,,,,accept,rain_wind_mixed,rain+wind,mixed,usable_rain_with_wind_overlap,sample,true,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,runs/mvp_pool_20260530_001_layer_d_assets_accept_only/assets_wav_22050_mono/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_216086_006050_006065.wav,wav,site_weather_candidate_promotion_v0.1,22050,1,15.0
