clip_id,final_rank,final_score,gate_status,retrieval_target,target_clap_score,target_vs_other_weather_margin,clap_weather_label,clap_weather_score,clap_rain_score,clap_wind_score,clap_thunder_score,contamination_label,contamination_score,weather_margin,env_prior_for_clap_label,audio_quality_proxy,analysis_asset_role,analysis_wav_sample_rate_hz,analysis_wav_channels,analysis_wav_duration_seconds,analysis_rms_dbfs,analysis_peak_dbfs,analysis_clipping_ratio,preview_asset_only,layer_d_asset_status,layer_d_target_sample_rate_hz,layer_d_target_channels,layer_d_recommended_format,target_env_prior,env_bucket,preview_path,wav_path,source_s3_uri,s3_key,site_id,recording_id,item_id,recorded_date_utc,sample_bin,sample_local_date,coarse_clip_num,coarse_size_bytes,coarse_inner_start_seconds,recording_start_offset_seconds,duration_seconds,precipitation_mm,precipitation_daily_mm,wind_speed_ms,wind_max_ms,humidity_pct,temperature_c,human_weather_label,human_intensity_label,human_accept,human_reject_reason,notes,pool_decision,pool_category,pool_label,pool_intensity_hint,pool_reason,manual_review_priority,layer_d_ready,layer_d_export_action,candidate_pool_policy_version,promotion_skip_reason,promotion_policy_version
site257_1401640_005031_005046,5,0.362241,candidate,rain,0.282316,0.090392,rain,0.282316,0.282316,0.179104,0.191923,bird_or_insect,0.226136,0.05618,0.45,0.55618,clap_scoring_window,48000,1,15.0,-44.144,-28.462,0.0,true,pending_22050hz_export,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0054_site257_1401640_005031_005046.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0054_site257_1401640_005031_005046.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_017.webm,site_257_item_1401640/site_257_item_1401640_clip_017.webm,257,1401640,1401640,2023-12-13T12:00:00.000Z,night,2023-12-13,017,2128097,231.0,5031.0,15.0,0.42,0.23,3.2,5.96,64.38,27.93,,,,,,backup,rain_backup_maybe,rain,light,rain_possible_but_needs_review_or_backup_use,medium,false,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,decision_not_selected,site_weather_candidate_promotion_v0.1
site257_214655_005566_005581,8,0.400273,maybe_contamination_close,rain,0.264515,0.054234,rain,0.264515,0.264515,0.210281,0.076041,bird_or_insect,0.281169,-0.016655,0.9,0.483345,clap_scoring_window,48000,1,15.0,-46.367,-19.976,0.0,true,pending_22050hz_export,22050,1,wav,0.9,storm_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0003_site257_214655_005566_005581.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0003_site257_214655_005566_005581.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214655/site_257_item_214655_clip_019.webm,site_257_item_214655/site_257_item_214655_clip_019.webm,257,214655,214655,2019-11-02T22:00:00.000Z,morning,2019-11-03,019,2127352,166.0,5566.0,15.0,81.37,5.02,7.1,7.79,51.58,24.91,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_1682413_002506_002521,9,0.385978,maybe_target_confused_with_other_weather,rain,0.326215,0.010059,rain,0.326215,0.326215,0.316156,0.104091,bird_or_insect,0.294022,0.032193,0.45,0.532193,clap_scoring_window,48000,1,15.0,-40.316,-24.757,0.0,true,pending_22050hz_export,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0090_site257_1682413_002506_002521.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0090_site257_1682413_002506_002521.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1682413/site_257_item_1682413_clip_009.webm,site_257_item_1682413/site_257_item_1682413_clip_009.webm,257,1682413,1682413,2024-10-14T04:00:00.000Z,afternoon,2024-10-14,009,2131471,106.0,2506.0,15.0,0.03,0.01,3.59,3.96,25.91,31.89,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_1401640_005966_005981,10,0.369281,maybe_contamination_close,rain,0.299244,0.095404,rain,0.299244,0.299244,0.20384,0.19003,human_or_machine,0.262881,0.036363,0.45,0.536363,clap_scoring_window,48000,1,15.0,-51.751,-34.645,0.0,true,pending_22050hz_export,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0053_site257_1401640_005966_005981.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0053_site257_1401640_005966_005981.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401640/site_257_item_1401640_clip_020.webm,site_257_item_1401640/site_257_item_1401640_clip_020.webm,257,1401640,1401640,2023-12-13T12:00:00.000Z,night,2023-12-13,020,2059785,266.0,5966.0,15.0,0.42,0.23,3.2,5.96,64.38,27.93,,,,,,backup,rain_backup_maybe,rain,light,rain_possible_but_needs_review_or_backup_use,medium,false,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,decision_not_selected,site_weather_candidate_promotion_v0.1
site257_216096_003823_003838,11,0.360806,maybe_target_confused_with_other_weather,rain,0.290736,0.005808,rain,0.290736,0.290736,0.284928,0.211761,human_or_machine,0.269101,0.021635,0.45,0.521635,clap_scoring_window,48000,1,15.0,-46.617,-28.336,0.0,true,pending_22050hz_export,22050,1,wav,0.45,rain_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0044_site257_216096_003823_003838.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0044_site257_216096_003823_003838.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_216096/site_257_item_216096_clip_013.webm,site_257_item_216096/site_257_item_216096_clip_013.webm,257,216096,216096,2020-03-02T12:00:00.000Z,night,2020-03-02,013,2068327,223.0,3823.0,15.0,0.96,1.69,0.89,5.09,59.12,22.54,,,,,,backup,rain_backup_maybe,rain,light,rain_possible_but_needs_review_or_backup_use,medium,false,export_22050hz_wav_after_spot_check,site_weather_candidate_pool_v0.2,decision_not_selected,site_weather_candidate_promotion_v0.1
site257_1539525_004444_004459,12,0.341841,maybe_target_confused_with_other_weather,rain,0.279391,-0.028556,wind,0.307947,0.279391,0.307947,0.137223,human_or_machine,0.290412,-0.011021,0.45,0.488979,clap_scoring_window,48000,1,15.0,-56.754,-40.566,0.0,true,pending_22050hz_export,22050,1,wav,0.45,rain_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0078_site257_1539525_004444_004459.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0078_site257_1539525_004444_004459.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1539525/site_257_item_1539525_clip_015.webm,site_257_item_1539525/site_257_item_1539525_clip_015.webm,257,1539525,1539525,2024-07-09T12:00:00.000Z,night,2024-07-09,015,2024676,244.0,4444.0,15.0,0.35,0.13,1.36,3.45,94.45,8.98,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_1539520_001909_001924,13,0.303364,maybe_target_confused_with_other_weather,rain,0.258534,0.015214,rain,0.258534,0.258534,0.24332,0.155686,bird_or_insect,0.338991,-0.080457,0.45,0.419543,clap_scoring_window,48000,1,15.0,-48.053,-31.875,0.0,true,pending_22050hz_export,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0074_site257_1539520_001909_001924.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0074_site257_1539520_001909_001924.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1539520/site_257_item_1539520_clip_007.webm,site_257_item_1539520/site_257_item_1539520_clip_007.webm,257,1539520,1539520,2024-07-09T03:12:53.000Z,afternoon,2024-07-09,007,2075992,109.0,1909.0,15.0,0.07,0.13,3.38,3.45,49.72,17.68,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_1401151_000344_000359,14,0.298083,maybe_target_confused_with_other_weather,rain,0.268146,0.00465,rain,0.268146,0.268146,0.263496,0.136765,bird_or_insect,0.377424,-0.109278,0.45,0.390722,clap_scoring_window,48000,1,15.0,-39.383,-23.441,0.0,true,pending_22050hz_export,22050,1,wav,0.45,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0056_site257_1401151_000344_000359.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0056_site257_1401151_000344_000359.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1401151/site_257_item_1401151_clip_002.webm,site_257_item_1401151/site_257_item_1401151_clip_002.webm,257,1401151,1401151,2024-01-01T19:09:00.000Z,dawn,2024-01-02,002,2137003,44.0,344.0,15.0,0.3,0.04,3.4,7.69,54.07,26.7,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_214654_001506_001521,15,0.276149,maybe_target_confused_with_other_weather,rain,0.276191,-0.009847,wind,0.286038,0.276191,0.286038,0.184544,bird_or_insect,0.375917,-0.099726,0.25,0.400274,clap_scoring_window,48000,1,15.0,-50.61,-37.322,0.0,true,pending_22050hz_export,22050,1,wav,0.25,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0120_site257_214654_001506_001521.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0120_site257_214654_001506_001521.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_214654/site_257_item_214654_clip_006.webm,site_257_item_214654/site_257_item_214654_clip_006.webm,257,214654,214654,2019-11-02T20:00:00.000Z,dawn,2019-11-03,006,2053997,6.0,1506.0,15.0,0.0,5.02,4.88,7.79,55.53,22.56,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
site257_1313667_002219_002234,16,0.274375,maybe_target_confused_with_other_weather,rain,0.209592,0.009128,rain,0.209592,0.209592,0.200464,0.145049,human_or_machine,0.206392,0.0032,0.25,0.5032,clap_scoring_window,48000,1,15.0,-56.983,-41.746,0.0,true,pending_22050hz_export,22050,1,wav,0.25,wind_env_prior,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/previews/0132_site257_1313667_002219_002234.mp3,/home/ubuntu/layer_b_site_weather_job/runs/mvp_pool_20260530_001/windows_wav/0132_site257_1313667_002219_002234.wav,s3://eco-acoustic-data.store.adelaideuni.cloud/dataset/original/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313667/site_257_item_1313667_clip_008.webm,site_257_item_1313667/site_257_item_1313667_clip_008.webm,257,1313667,1313667,2023-04-29T12:00:00.000Z,night,2023-04-29,008,2026383,119.0,2219.0,15.0,0.0,8.71,0.87,8.03,82.43,11.68,,,,,,reject,reject,,,rain_too_weak_or_contaminated,low,false,do_not_export,site_weather_candidate_pool_v0.2,export_action_not_enabled,site_weather_candidate_promotion_v0.1
