segment_id,source_clip,diel_bin,season,hour_sin,hour_cos,month_sin,month_cos,cell
1313184_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_009.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313184_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_017.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313184_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_022.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_001.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313484_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_001.webm,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
