segment_id,source_clip,t_start,t_end,duration_s,diel_bin,season,hour_sin,hour_cos,month_sin,month_cos,cell
1313184_clip009_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_009.webm,65.155,75.651,10.495,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313184_clip017_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_017.webm,15.859,29.977,14.118,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313184_clip022_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313184/site_257_item_1313184_clip_022.webm,43.212,55.055,11.842,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_001.webm,24.729,36.014,11.285,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,87.47,97.919,10.449,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313384_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313384/site_257_item_1313384_clip_003.webm,236.077,251.31,15.232,dawn,autumn,1.0,0.0,0.866025,-0.5,autumn_dawn
1313484_clip001_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_001.webm,266.844,279.591,12.748,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,75.302,87.841,12.539,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,176.797,190.566,13.769,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip003_s002,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_003.webm,215.342,235.822,20.48,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip004_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_004.webm,34.853,52.779,17.926,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip004_s001,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_004.webm,235.775,247.873,12.098,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip005_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_005.webm,278.407,289.808,11.401,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
1313484_clip006_s000,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313484/site_257_item_1313484_clip_006.webm,30.302,42.493,12.19,dawn,autumn,0.965926,0.258819,0.5,-0.866025,autumn_dawn
