audio_id,expected_label,audio_path,source_review,notes
rain_site257_1401640_003387_003402,rain,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1401640_003387_003402.wav,layer_b_light_rain_audit_001,human changed intensity to heavy; clear rain
rain_site257_214665_001923_001938,rain,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_214665_001923_001938.wav,layer_b_light_rain_audit_001,human kept light rain
rain_site257_1313196_001218_001233,rain,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_primary/rain_primary__rain__site257_1313196_001218_001233.wav,rain_spotcheck_001,human yes rain
wind_site257_214871_006725_006755,wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/wind_primary/wind_primary__wind__site257_214871_006725_006755.wav,site_weather_nov2019_storm_scout_001,human wind heavy
wind_site257_214717_000138_000168,wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/wind_primary/wind_primary__wind__site257_214717_000138_000168.wav,site_weather_nov2019_storm_scout_001,human wind medium
wind_site257_214876_002321_002351,wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/wind_primary/wind_primary__wind__site257_214876_002321_002351.wav,site_weather_nov2019_storm_scout_001,human wind medium
rain_wind_site257_214657_001545_001575,rain+wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214657_001545_001575.wav,site_weather_nov2019_storm_scout_001,human rain+wind medium
rain_wind_site257_214871_006056_006086,rain+wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214871_006056_006086.wav,site_weather_nov2019_storm_scout_001,human rain+wind medium
rain_wind_site257_214659_001558_001588,rain+wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_214659_001558_001588.wav,site_weather_nov2019_storm_scout_001,human rain+wind medium backup
rain_wind_site257_1313184_006689_006704,rain+wind,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_mvp_002/rain_wind_mixed/rain_wind_mixed__rain_wind__site257_1313184_006689_006704.wav,rain_spotcheck_001,human yes rain+wind light
thunder_site257_214872_001700_001730,thunder,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/thunder_backup/thunder_backup__thunder__site257_214872_001700_001730.wav,site_weather_nov2019_storm_scout_001,human maybe thunder heavy
thunder_site257_214707_000781_000811,thunder,acoustic_ai/layers/layer_b/attempts/lucas__smoke_1__curated_assets/data/weather/site_nov2019_storm_scout_001/thunder_backup/thunder_backup__thunder__site257_214707_000781_000811.wav,site_weather_nov2019_storm_scout_001,human maybe thunder medium
