event_id,recording_id,clip_path,clip_index,clip_start_seconds,clip_end_seconds,event_start_seconds,event_end_seconds,event_duration_seconds,event_start_in_clip_seconds,event_end_in_clip_seconds,event_midpoint_seconds,event_midpoint_in_clip_seconds,score,confidence_band,label,label_kind,common_name_tags,species_name_tags,other_tags,source,verification_consensus,snippet_status,sample_bin,sample_local_date,month,month_range,day_of_year,hour_local,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,precipitation_mm,precipitation_daily_mm,days_since_rain
18809899,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_024.webm,24,6900.0,7194.842,7026.0,7032.0,6.0,126.0,132.0,7029.0,129.0,0.7365,medium,Cracticus torquatus,birdnet_other_tag,,,26692:Cracticus torquatus:general|26693:Gray Butcherbird:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809898,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6798.0,6807.0,9.0,198.0,207.0,6802.5,202.5,0.5979,medium,Gray Butcherbird,birdnet_other_tag,,,26693:Gray Butcherbird:general|26692:Cracticus torquatus:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809897,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6786.0,6795.0,9.0,186.0,195.0,6790.5,190.5,0.7476,medium,Gray Butcherbird,birdnet_other_tag,,,26693:Gray Butcherbird:general|26692:Cracticus torquatus:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809896,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6780.0,6783.0,3.0,180.0,183.0,6781.5,181.5,0.8817,high,Gray Butcherbird,birdnet_other_tag,,,26693:Gray Butcherbird:general|26692:Cracticus torquatus:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809895,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6699.0,6702.0,3.0,99.0,102.0,6700.5,100.5,0.9231,very_high,Corvus coronoides,birdnet_other_tag,,,26660:Corvus coronoides:general|152:Australian Raven:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809894,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6615.0,6630.0,15.0,15.0,30.0,6622.5,22.5,0.7069,medium,Corvus coronoides,birdnet_other_tag,,,26660:Corvus coronoides:general|152:Australian Raven:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809893,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_023.webm,23,6600.0,6900.0,6606.0,6612.0,6.0,6.0,12.0,6609.0,9.0,0.6021,medium,Corvus coronoides,birdnet_other_tag,,,26660:Corvus coronoides:general|152:Australian Raven:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809892,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_022.webm,22,6300.0,6600.0,6588.0,6594.0,6.0,288.0,294.0,6591.0,291.0,0.8417,high,Australian Raven,birdnet_other_tag,,,152:Australian Raven:general|26660:Corvus coronoides:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809891,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_022.webm,22,6300.0,6600.0,6558.0,6564.0,6.0,258.0,264.0,6561.0,261.0,0.5429,medium,Corvus coronoides,birdnet_other_tag,,,26660:Corvus coronoides:general|152:Australian Raven:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
18809890,1313285,resources/site_257_bowra-dry-a/downloaded_clips/site_257_item_1313285/site_257_item_1313285_clip_022.webm,22,6300.0,6600.0,6417.0,6420.0,3.0,117.0,120.0,6418.5,118.5,0.7132,medium,Corvus coronoides,birdnet_other_tag,,,26660:Corvus coronoides:general|152:Australian Raven:general,BirdNET.results.csv,,extractable,dawn,2023-05-10,5,March-May,130,6,5.52,94.72,1.68,143.9,0.0,0.0,9
