pool_index,source_status,event_type,species_common_name,audio_event_id,score,quality_score,selection_score,diel_bin,audio_recording_id,event_start_datetime_aest,duration_s,audio_path,mel_spectrogram_png_path,source_manifest,verdict,notes
1,human_pass_existing,splendid_fairywren,Splendid Fairywren,13404993,0.985,16.857355,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_13404993_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1536304/site_257_item_1536304_audioevent_13404993/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
2,human_pass_existing,splendid_fairywren,Splendid Fairywren,5745720,0.9563,12.529019,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_5745720_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_216491/site_257_item_216491_audioevent_5745720/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
3,human_pass_existing,splendid_fairywren,Splendid Fairywren,13845957,0.9184,17.075697,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_13845957_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1678678/site_257_item_1678678_audioevent_13845957/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
4,human_pass_existing,splendid_fairywren,Splendid Fairywren,18788757,0.9703,7.501431,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_18788757_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1677069/site_257_item_1677069_audioevent_18788757/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
5,human_pass_existing,splendid_fairywren,Splendid Fairywren,23761524,0.9891,6.464093,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_23761524_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1677520/site_257_item_1677520_audioevent_23761524/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
6,human_pass_existing,splendid_fairywren,Splendid Fairywren,23826720,0.9748,22.002473,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_23826720_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1536133/site_257_item_1536133_audioevent_23826720/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
7,human_pass_existing,splendid_fairywren,Splendid Fairywren,16425656,0.9443,13.843533,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_16425656_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1402213/site_257_item_1402213_audioevent_16425656/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
8,human_pass_existing,splendid_fairywren,Splendid Fairywren,6904411,0.9925,18.882419,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_6904411_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1402591/site_257_item_1402591_audioevent_6904411/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
9,human_pass_existing,splendid_fairywren,Splendid Fairywren,15251544,0.9925,4.514412,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_15251544_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1679222/site_257_item_1679222_audioevent_15251544/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
10,human_pass_existing,splendid_fairywren,Splendid Fairywren,3797024,0.9967,23.341146,,,,,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/quality_v2_relaxed/crops/splendid_fairywren/audioevent_3797024_crop_0.50s.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/segments/site_257_item_1535461/site_257_item_1535461_audioevent_3797024/mel_spectrogram.png,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/natural_core_v1/manual_audit_splendid_fairywren_natural_core_top55.csv,Pass,
