species_rank,species_common_name,species_scientific_name,species_slug,target_sample_count,selection_bucket,reuse_old_pass_allowed,selection_rank,selected_for_v2_review,recording_cap_applied,audio_event_id,recording_id,audio_recording_uuid,score,quality_score,event_start_s,event_end_s,duration_s,low_frequency_hertz,high_frequency_hertz,diel_bin,season,sample_local_date,recording_duration_s,canonical_file_name,notes_relative_path,source_annotation_csv,listen_url,library_url,candidate_status,reject_reason,warning_reason,reused_from_prior_library,prior_library_path,prior_retrieval_audio_path,prior_retrieval_spectrogram_path,prior_source_audio_path,prior_notes
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,1,true,10,20185901,1403167,df95a988-48ed-40b8-9e41-2c41558e4786,0.999300,0.999300,2457.0000,2460.0000,3.0000,,,morning,autumn,2024-03-13,7194.842,20240313T080000+1000_Bowra-Dry-A_1403167.flac,harvest_100/Bowra-Dry-A_257/257/1126/20240313_AAO/20240313T080000+1000_Rec.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1403167/site_257_item_1403167.csv,https://data.acousticobservatory.org/listen/1403167?start=2430&end=2460,https://data.acousticobservatory.org/library/1403167/audio_events/20185901,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,2,true,10,1454214,1535419,50d53711-cc54-40ba-bb0e-a2eefb681e16,0.998800,0.998800,7107.0000,7110.0000,3.0000,,,dawn,autumn,2024-04-17,7194.842,20240417T040000+1000_Bowra-Dry-A_1535419.flac,harvest_125/65/257/1120/20240417_AAO/20240417T040000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1535419/site_257_item_1535419.csv,https://data.acousticobservatory.org/listen/1535419?start=7080&end=7110,https://data.acousticobservatory.org/library/1535419/audio_events/1454214,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,3,true,10,15474618,214452,2839c340-cf83-42b2-9cd2-7a17f08f6f1c,0.998800,0.998800,258.0000,261.0000,3.0000,,,morning,spring,2019-10-17,7194.749,20191017T080000+1000_Bowra-Dry-A_214452.flac,20200506_65/257/0591/20191017_AAO/20191017T080000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_214452/site_257_item_214452.csv,https://data.acousticobservatory.org/listen/214452?start=240&end=270,https://data.acousticobservatory.org/library/214452/audio_events/15474618,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,4,true,10,7380136,445719,f435fb12-32a6-4333-bfd3-8e01cdc2a739,0.998000,0.998000,2700.0000,2703.0000,3.0000,,,afternoon,spring,2020-09-15,7194.842,20200915T160000+1000_Bowra-Dry-A_445719.flac,20210614_65/257/474/20200915_AAO/20200915T160000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_445719/site_257_item_445719.csv,https://data.acousticobservatory.org/listen/445719?start=2700&end=2730,https://data.acousticobservatory.org/library/445719/audio_events/7380136,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,5,true,10,19854858,216330,789f5cc0-78c9-4ba1-9c77-27c8b567e79f,0.998000,0.998000,342.0000,348.0000,6.0000,,,dawn,autumn,2020-03-24,7194.749,20200324T060000+1000_Bowra-Dry-A_216330.flac,20200506_65/257/0591/20200324_AAO/20200324T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_216330/site_257_item_216330.csv,https://data.acousticobservatory.org/listen/216330?start=330&end=360,https://data.acousticobservatory.org/library/216330/audio_events/19854858,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,6,true,10,10290911,215537,d123c6a0-a4e1-4466-87c4-7fce966fe5b8,0.997600,0.997600,1773.0000,1776.0000,3.0000,,,dawn,summer,2020-01-16,7194.749,20200116T060000+1000_Bowra-Dry-A_215537.flac,20200506_65/257/0591/20200116_AAO/20200116T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_215537/site_257_item_215537.csv,https://data.acousticobservatory.org/listen/215537?start=1770&end=1800,https://data.acousticobservatory.org/library/215537/audio_events/10290911,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,7,true,10,14096954,1403183,16a81186-d499-440f-a7d5-0c3f5b667d9c,0.997600,0.997600,6024.0000,6030.0000,6.0000,,,dawn,autumn,2024-03-15,7194.842,20240315T040000+1000_Bowra-Dry-A_1403183.flac,harvest_100/Bowra-Dry-A_257/257/1126/20240315_AAO/20240315T040000+1000_Rec.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1403183/site_257_item_1403183.csv,https://data.acousticobservatory.org/listen/1403183?start=6000&end=6030,https://data.acousticobservatory.org/library/1403183/audio_events/14096954,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,8,true,10,7247656,5321,fed0fdb5-204d-40ae-9c1f-b667bae7f568,0.997300,0.997300,1932.0000,1938.0000,6.0000,,,dawn,winter,2019-08-21,7194.749,20190821T060000+1000_Bowra-Dry-A_5321.flac,20190821_AAO/20190821T060000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_5321/site_257_item_5321.csv,https://data.acousticobservatory.org/listen/5321?start=1920&end=1950,https://data.acousticobservatory.org/library/5321/audio_events/7247656,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,9,true,10,24065228,1401800,65e7069d-a191-4c33-a32e-886b059e7e74,0.997100,0.997100,6768.0000,6771.0000,3.0000,,,dawn,summer,2024-02-25,7194.842,20240225T040000+1000_Bowra-Dry-A_1401800.flac,harvest_100/Bowra-Dry-A_257/257/1126/20240225_AAO/20240225T040000+1000_Rec.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1401800/site_257_item_1401800.csv,https://data.acousticobservatory.org/listen/1401800?start=6750&end=6780,https://data.acousticobservatory.org/library/1401800/audio_events/24065228,candidate,,missing_annotation_frequency_box,false,,,,,
8,Australian Raven,Corvus coronoides,australian_raven,100,gt_100,true,10,true,10,17877011,5164,9cd5422c-2ec6-45cf-814c-dec00d6f74df,0.996800,0.996800,4905.0000,4908.0000,3.0000,,,morning,spring,2019-09-29,7194.749,20190929T100000+1000_Bowra-Dry-A_5164.flac,20190929_AAO/20190929T100000+1000_REC.flac,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_5164/site_257_item_5164.csv,https://data.acousticobservatory.org/listen/5164?start=4890&end=4920,https://data.acousticobservatory.org/library/5164/audio_events/17877011,candidate,,missing_annotation_frequency_box,false,,,,,
