snippet_id,event_type,species_common_name,species_scientific_name,audio_event_id,audio_path,score,quality_score,diel_bin,season,duration_s,recording_id,event_start_seconds,event_end_seconds,source_manifest,verdict,notes
chestnut_rumped_thornbill_top35_1_3216012,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,3216012,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/01_audioevent_3216012/bandpass_tightcrop_3500_9500hz.wav,0.999,0.999,dawn,unknown,1.733,214796,1479.0,1482.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; no hard overlapping annotation in bandpass crop; spectral_clutter_ok coverage=0.0139, components_per_s=7.50, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_2_4542144,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,4542144,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/02_audioevent_4542144/bandpass_tightcrop_3500_9500hz.wav,0.999,0.999,dawn,unknown,1.402,1535669,6990.0,6993.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; 4542145:0.549:1.40s:nan; low_score_non_target_overlap_warning=4542145:0.549:1.40s:nan; spectral_clutter_ok coverage=0.0129, components_per_s=7.13, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_3_11454389,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,11454389,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/03_audioevent_11454389/bandpass_tightcrop_3500_9500hz.wav,0.9988,0.9988,dawn,unknown,1.681,1680688,5574.0,5577.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; spectrogram_warning:spectral_clutter_coverage=0.0268>0.0240; dense_vertical_overlap_fraction=0.0138>0.0080
chestnut_rumped_thornbill_top35_4_4326791,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,4326791,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/04_audioevent_4326791/bandpass_tightcrop_3500_9500hz.wav,0.9978,0.9978,dawn,unknown,1.333,1401013,834.0,837.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; 4326792:0.883:0.34s:nan; target_call_overlap_warning=4326792:0.883:0.34s:nan; spectral_clutter_ok coverage=0.0091, components_per_s=2.25, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_5_13181274,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,13181274,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/05_audioevent_13181274/bandpass_tightcrop_3500_9500hz.wav,0.9971,0.9971,dawn,unknown,2.163,1535782,6972.0,6975.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; no hard overlapping annotation in bandpass crop; spectral_clutter_ok coverage=0.0155, components_per_s=3.70, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_6_3841133,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,3841133,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/06_audioevent_3841133/bandpass_tightcrop_3500_9500hz.wav,0.9963,0.9963,dawn,unknown,2.79,1678493,4770.0,4773.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; 3841134:0.867:2.33s:nan; target_call_overlap_warning=3841134:0.867:2.33s:nan; spectral_clutter_ok coverage=0.0099, components_per_s=5.74, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_7_22738647,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,22738647,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/07_audioevent_22738647/bandpass_tightcrop_3500_9500hz.wav,0.9963,0.9963,dawn,unknown,1.756,1679264,1941.0,1944.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; spectrogram_warning:spectral_clutter_coverage=0.0421>0.0240; dense_vertical_overlap_fraction=0.0165>0.0080
chestnut_rumped_thornbill_top35_8_6994708,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,6994708,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/08_audioevent_6994708/bandpass_tightcrop_3500_9500hz.wav,0.9953,0.9953,dawn,unknown,1.919,1401086,1989.0,1992.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; spectrogram_warning:too_many_bright_call_marks_per_s=15.63>12.00
chestnut_rumped_thornbill_top35_9_22299985,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,22299985,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/09_audioevent_22299985/bandpass_tightcrop_3500_9500hz.wav,0.9951,0.9951,dawn,unknown,5.0,1679910,5877.0,5880.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; no hard overlapping annotation in bandpass crop; spectral_clutter_ok coverage=0.0090, components_per_s=6.80, col_gt25=0.0000"
chestnut_rumped_thornbill_top35_10_16705555,chestnut_rumped_thornbill,Chestnut-rumped Thornbill,Acanthiza uropygialis,16705555,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/chestnut_rumped_thornbill/items/10_audioevent_16705555/bandpass_tightcrop_3500_9500hz.wav,0.9943,0.9943,dawn,unknown,5.0,1535599,1863.0,1866.0,resources/site_257_bowra-dry-a/layer_c_retrieval_top8_species_candidates_v1/final_retrieval_library_top35_human_v1/layer_c_retrieval_top35_event_index.csv,Pass,"human-calibrated bandpass retrieval top35; bandpass=3500-9500Hz; prefilter=Pass; no hard overlapping annotation in bandpass crop; spectral_clutter_ok coverage=0.0115, components_per_s=8.00, col_gt25=0.0000"
