smoke_event_index,species_index,event_type,species_common_name,species_scientific_name,audio_recording_id,item_count,audio_event_id,score,event_start_seconds,event_end_seconds,event_duration_seconds,buffer_seconds,extracted_start_seconds,extracted_end_seconds,extracted_duration_seconds,event_start_datetime_utc,event_start_datetime_aest,diel_bin,annotation_source,annotation_csv,segment_path,caption,source_webm_path,audio_path,caption_path,mel_spectrogram_npy_path,mel_spectrogram_png_path,prepare_status,manual_verdict,manual_notes,crop_audio_path,crop_start_seconds,crop_end_seconds,crop_duration_seconds,event_rms,background_rms,crop_rms,peak,event_to_background_db,active_ratio,silence_ratio,spectral_centroid_hz,high_freq_ratio_3khz,quality_score,quality_gate,v2_caption
58,58,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1402712,5902,23635897,0.9980,2025.000,2031.000,6.000,3.000,2022.000,2034.000,12.000,2024-01-08T00:33:45Z,2024-01-08T10:33:45+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1402712/site_257_item_1402712.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/site_257_item_1402712_audioevent_23635897.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/site_257_item_1402712_audioevent_23635897.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402712/site_257_item_1402712_audioevent_23635897/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_23635897_crop_0.50s.wav,2.500,9.500,7.000,0.059573,0.026317,0.056715,0.383453,7.096118,0.512545,0.487455,2214.143043,0.033012,11.096118,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
15,15,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1539219,8239,18696395,0.9974,1638.000,1641.000,3.000,3.000,1635.000,1644.000,9.000,2024-07-20T20:27:18Z,2024-07-21T06:27:18+10:00,dawn,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539219/site_257_item_1539219.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/site_257_item_1539219_audioevent_18696395.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/site_257_item_1539219_audioevent_18696395.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539219/site_257_item_1539219_audioevent_18696395/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_18696395_crop_0.50s.wav,2.500,6.500,4.000,0.005352,0.003414,0.004858,0.033813,3.904387,0.220126,0.779874,3011.340288,0.612750,5.665393,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
78,78,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1675755,12085,1519148,0.9696,3093.000,3099.000,6.000,3.000,3090.000,3102.000,12.000,2025-06-07T00:51:33Z,2025-06-07T10:51:33+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1675755/site_257_item_1675755.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/site_257_item_1675755_audioevent_1519148.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/site_257_item_1675755_audioevent_1519148.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1675755/site_257_item_1675755_audioevent_1519148/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_1519148_crop_0.50s.wav,2.500,9.500,7.000,0.017437,0.011857,0.016380,0.096985,3.349773,0.225806,0.774194,2186.574222,0.015546,5.156224,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
50,50,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1539500,8086,13395066,0.9996,1074.000,1080.000,6.000,3.000,1071.000,1083.000,12.000,2024-07-08T00:17:54Z,2024-07-08T10:17:54+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539500/site_257_item_1539500.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/site_257_item_1539500_audioevent_13395066.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/site_257_item_1539500_audioevent_13395066.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539500/site_257_item_1539500_audioevent_13395066/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13395066_crop_0.50s.wav,2.500,9.500,7.000,0.007351,0.005157,0.006877,0.054657,3.079095,0.232975,0.767025,3259.567725,0.740047,4.942894,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
66,66,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1681879,10229,18693695,0.9954,1794.000,1797.000,3.000,3.000,1791.000,1800.000,9.000,2025-01-02T22:29:54Z,2025-01-03T08:29:54+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1681879/site_257_item_1681879.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/site_257_item_1681879_audioevent_18693695.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/site_257_item_1681879_audioevent_18693695.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1681879/site_257_item_1681879_audioevent_18693695/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_18693695_crop_0.50s.wav,2.500,6.500,4.000,0.056115,0.041508,0.058084,0.351715,2.618971,0.289308,0.710692,3785.025024,0.070409,4.933436,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
2,2,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1677414,9282,10030361,0.9998,4650.000,4653.000,3.000,3.000,4647.000,4656.000,9.000,2024-10-15T21:17:30Z,2024-10-16T07:17:30+10:00,dawn,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1677414/site_257_item_1677414.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/site_257_item_1677414_audioevent_10030361.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/site_257_item_1677414_audioevent_10030361.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1677414/site_257_item_1677414_audioevent_10030361/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_10030361_crop_0.50s.wav,2.500,6.500,4.000,0.013965,0.009668,0.014237,0.096222,3.193630,0.207547,0.792453,3599.567742,0.891031,4.854007,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
11,11,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1402222,5648,13821609,0.9986,168.000,174.000,6.000,3.000,165.000,177.000,12.000,2023-12-17T20:43:59Z,2023-12-18T06:43:59+10:00,dawn,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1402222/site_257_item_1402222.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/site_257_item_1402222_audioevent_13821609.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/site_257_item_1402222_audioevent_13821609.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402222/site_257_item_1402222_audioevent_13821609/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13821609_crop_0.50s.wav,2.500,9.500,7.000,0.012982,0.009763,0.013309,0.103302,2.475572,0.189964,0.810036,4060.793426,0.938078,3.995286,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
51,51,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1539151,8001,9480305,0.9995,1827.000,1830.000,3.000,3.000,1824.000,1833.000,9.000,2024-06-30T22:56:56Z,2024-07-01T08:56:56+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1539151/site_257_item_1539151.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/site_257_item_1539151_audioevent_9480305.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/site_257_item_1539151_audioevent_9480305.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1539151/site_257_item_1539151_audioevent_9480305/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_9480305_crop_0.50s.wav,2.500,6.500,4.000,0.007311,0.006000,0.006748,0.034149,1.716467,0.213836,0.786164,3243.316490,0.733413,3.427159,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
59,59,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1402594,5757,13308905,0.9971,6678.000,6681.000,3.000,3.000,6675.000,6684.000,9.000,2023-12-26T23:51:18Z,2023-12-27T09:51:18+10:00,morning,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1402594/site_257_item_1402594.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/site_257_item_1402594_audioevent_13308905.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/site_257_item_1402594_audioevent_13308905.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402594/site_257_item_1402594_audioevent_13308905/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_13308905_crop_0.50s.wav,2.500,6.500,4.000,0.008248,0.006357,0.007605,0.047668,2.261960,0.144654,0.855346,3830.556200,0.780946,3.397809,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
7,7,horsfields_bronze_cuckoo,Horsfield's Bronze-cuckoo,Chrysococcyx basalis,1402608,5780,6606841,0.9994,3732.000,3738.000,6.000,3.000,3729.000,3741.000,12.000,2023-12-28T21:38:12Z,2023-12-29T07:38:12+10:00,dawn,BirdNET.results.csv,resources/site_257_bowra-dry-a/all_items_annotation/site_257_item_1402608/site_257_item_1402608.csv,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/site_257_item_1402608_audioevent_6606841.webm,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background",resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/site_257_item_1402608_audioevent_6606841.webm,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/audio.wav,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/caption.txt,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/mel_spectrogram.npy,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/segments/site_257_item_1402608/site_257_item_1402608_audioevent_6606841/mel_spectrogram.png,ok,Pass,,resources/site_257_bowra-dry-a/layer_c_smoke_fairywren_robin_bellbird/bronze_cuckoo_natural_core_v1/quality_v1_relaxed/crops/horsfields_bronze_cuckoo/audioevent_6606841_crop_0.50s.wav,2.500,9.500,7.000,0.015895,0.013036,0.014860,0.105438,1.722457,0.175627,0.824373,3909.661998,0.814284,3.127475,Pass,"clear Horsfield's Bronze-cuckoo descending whistled bird call, isolated foreground call, sparse dry woodland background"
