clip_id,segment_id,recording_id,recording_date,diel_bin,season,split,duration_s,audio_path,caption,temperature_c,humidity_pct,wind_speed_ms,status
0001_216301_clip012_s000,216301_clip012_s000,216301,2020-03-21,afternoon,autumn,train,10.008,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0001_216301_clip012_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, hot (33C), dry air, moderate wind, no music, no machinery",33.06,20.96,2.68,ok
0002_216301_clip015_s000,216301_clip015_s000,216301,2020-03-21,afternoon,autumn,train,11.192,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0002_216301_clip015_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, hot (33C), dry air, moderate wind, no music, no machinery",33.06,20.96,2.68,ok
0003_216601_clip007_s000,216601_clip007_s000,216601,2020-04-15,afternoon,autumn,train,10.635,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0003_216601_clip007_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, warm (31C), dry air, moderate wind, no music, no machinery",31.07,28.2,2.99,ok
0004_1313284_clip002_s000,1313284_clip002_s000,1313284,2023-05-10,afternoon,autumn,train,38.893,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0004_1313284_clip002_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (21C), dry air, moderate wind, no music, no machinery",20.56,29.33,3.38,ok
0005_1313284_clip011_s000,1313284_clip011_s000,1313284,2023-05-10,afternoon,autumn,train,11.262,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0005_1313284_clip011_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (21C), dry air, moderate wind, no music, no machinery",20.56,29.33,3.38,ok
0006_1313284_clip014_s000,1313284_clip014_s000,1313284,2023-05-10,afternoon,autumn,train,23.127,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0006_1313284_clip014_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (21C), dry air, moderate wind, no music, no machinery",20.56,29.33,3.38,ok
0007_1313284_clip014_s001,1313284_clip014_s001,1313284,2023-05-10,afternoon,autumn,train,17.299,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0007_1313284_clip014_s001/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (21C), dry air, moderate wind, no music, no machinery",20.56,29.33,3.38,ok
0008_1313480_clip001_s000,1313480_clip001_s000,1313480,2023-05-23,afternoon,autumn,val,18.135,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0008_1313480_clip001_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, still, no music, no machinery",22.82,18.65,0.38,ok
0009_1313480_clip001_s001,1313480_clip001_s001,1313480,2023-05-23,afternoon,autumn,train,33.39,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0009_1313480_clip001_s001/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, still, no music, no machinery",22.82,18.65,0.38,ok
0010_1313480_clip002_s000,1313480_clip002_s000,1313480,2023-05-23,afternoon,autumn,train,11.935,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0010_1313480_clip002_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, still, no music, no machinery",22.82,18.65,0.38,ok
