clip_id,segment_id,recording_id,recording_date,diel_bin,season,split,duration_s,audio_path,caption,temperature_c,humidity_pct,wind_speed_ms,status
0558_5392_clip001_s000,5392_clip001_s000,5392,2019-09-01,night,spring,train,13.096,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0558_5392_clip001_s000/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0559_5392_clip001_s001,5392_clip001_s001,5392,2019-09-01,night,spring,train,10.24,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0559_5392_clip001_s001/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0560_5392_clip002_s000,5392_clip002_s000,5392,2019-09-01,night,spring,train,11.564,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0560_5392_clip002_s000/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0561_5392_clip002_s001,5392_clip002_s001,5392,2019-09-01,night,spring,train,14.466,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0561_5392_clip002_s001/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0562_5392_clip002_s002,5392_clip002_s002,5392,2019-09-01,night,spring,train,16.138,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0562_5392_clip002_s002/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0563_5392_clip002_s003,5392_clip002_s003,5392,2019-09-01,night,spring,train,10.24,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0563_5392_clip002_s003/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0564_5392_clip003_s000,5392_clip003_s000,5392,2019-09-01,night,spring,train,16.277,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0564_5392_clip003_s000/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0565_5392_clip003_s001,5392_clip003_s001,5392,2019-09-01,night,spring,train,14.095,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0565_5392_clip003_s001/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0566_5392_clip003_s002,5392_clip003_s002,5392,2019-09-01,night,spring,train,13.282,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0566_5392_clip003_s002/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0567_5392_clip003_s003,5392_clip003_s003,5392,2019-09-01,night,spring,train,13.189,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0567_5392_clip003_s003/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0568_5392_clip003_s004,5392_clip003_s004,5392,2019-09-01,night,spring,train,13.142,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0568_5392_clip003_s004/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0569_5392_clip004_s000,5392_clip004_s000,5392,2019-09-01,night,spring,train,10.89,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0569_5392_clip004_s000/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0570_5392_clip005_s000,5392_clip005_s000,5392,2019-09-01,night,spring,train,11.053,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0570_5392_clip005_s000/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0571_5392_clip005_s001,5392_clip005_s001,5392,2019-09-01,night,spring,val,12.26,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0571_5392_clip005_s001/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
0572_5392_clip005_s002,5392_clip005_s002,5392,2019-09-01,night,spring,train,10.286,resources/site_257_bowra-dry-a/mvp1_all_conditioned_dataset/clips/0572_5392_clip005_s002/audio.wav,"night spring ambient soundscape, Bowra dry woodland, Australia, mild (15C), dry air, light breeze, recorded 2019-09-01, no music, no machinery",15.03,32.72,1.37,ok
