clip_id,segment_id,recording_id,recording_date,diel_bin,season,split,duration_s,audio_path,caption,temperature_c,humidity_pct,wind_speed_ms,status
0001_216301_clip012_s000,216301_clip012_s000,216301,2020-03-21,afternoon,autumn,train,10.008,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0001_216301_clip012_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, hot (33C), dry air, moderate wind, recorded 2020-03-21, no music, no machinery",33.06,20.96,2.68,ok
0002_216301_clip015_s000,216301_clip015_s000,216301,2020-03-21,afternoon,autumn,train,11.192,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0002_216301_clip015_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, hot (33C), dry air, moderate wind, recorded 2020-03-21, no music, no machinery",33.06,20.96,2.68,ok
0003_216470_clip010_s000,216470_clip010_s000,216470,2020-04-04,afternoon,autumn,train,10.542,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0003_216470_clip010_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0004_216470_clip017_s000,216470_clip017_s000,216470,2020-04-04,afternoon,autumn,train,13.351,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0004_216470_clip017_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0005_216470_clip017_s001,216470_clip017_s001,216470,2020-04-04,afternoon,autumn,train,10.612,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0005_216470_clip017_s001/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0006_216470_clip018_s000,216470_clip018_s000,216470,2020-04-04,afternoon,autumn,train,12.237,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0006_216470_clip018_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0007_216470_clip019_s000,216470_clip019_s000,216470,2020-04-04,afternoon,autumn,train,11.424,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0007_216470_clip019_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0008_216470_clip020_s000,216470_clip020_s000,216470,2020-04-04,afternoon,autumn,train,11.262,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0008_216470_clip020_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0009_216470_clip022_s000,216470_clip022_s000,216470,2020-04-04,afternoon,autumn,train,10.983,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0009_216470_clip022_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, mild (23C), dry air, moderate wind, recorded 2020-04-04, no music, no machinery",23.23,35.05,5.06,ok
0010_216601_clip007_s000,216601_clip007_s000,216601,2020-04-15,afternoon,autumn,train,10.635,resources/site_257_bowra-dry-a/mvp2_per_cell_dataset/clips/0010_216601_clip007_s000/audio.wav,"afternoon autumn ambient soundscape, Bowra dry woodland, Australia, warm (31C), dry air, moderate wind, recorded 2020-04-15, no music, no machinery",31.07,28.2,2.99,ok
