count,recording_id,recorded_date_utc,sample_bin,sample_local_date,temperature_c,humidity_pct,wind_speed_ms,wind_direction_deg,precipitation_mm,solar_radiation_wm2,cloud_clearness_index,surface_pressure_kpa,temp_max_c,temp_min_c,precipitation_daily_mm,wind_max_ms,days_since_rain,sunrise_local,sunset_local,daylight_hours,hour_utc,hour_local,month,month_range,day_of_year
1,5300,2019-08-13T20:00:00.000Z,dawn,2019-08-14,3.73,71.77,2.02,94.8,0.0,0.0,,100.31,19.04,2.39,0.0,2.62,36,06:50,17:54,11.07,20,6,8,June-August,226
2,5299,2019-08-13T22:00:00.000Z,morning,2019-08-14,8.38,51.94,2.65,82.0,0.0,296.68,0.67,100.43,19.04,2.39,0.0,2.62,36,06:50,17:54,11.07,22,8,8,June-August,226
3,5293,2019-08-14T04:00:00.000Z,afternoon,2019-08-14,22.7,15.93,0.59,317.7,0.0,634.75,0.78,99.99,22.7,3.73,0.0,3.11,37,06:50,17:54,11.07,4,14,8,June-August,226
4,5296,2019-08-14T12:00:00.000Z,night,2019-08-14,10.17,35.85,1.63,124.0,0.0,0.0,,100.18,22.7,3.73,0.0,3.11,37,06:50,17:54,11.07,12,22,8,June-August,226
5,5495,2019-08-17T20:00:00.000Z,dawn,2019-08-18,11.26,48.4,1.88,17.7,0.0,0.0,,99.3,28.02,12.05,0.0,2.22,40,06:46,17:56,11.16,20,6,8,June-August,230
6,5489,2019-08-17T22:00:00.000Z,morning,2019-08-18,17.37,35.0,3.99,7.3,0.0,320.67,0.69,99.35,28.02,12.05,0.0,2.22,40,06:46,17:56,11.16,22,8,8,June-August,230
7,5493,2019-08-18T04:00:00.000Z,afternoon,2019-08-18,30.68,10.92,5.44,303.5,0.0,644.08,0.78,98.84,30.68,11.26,0.0,5.61,41,06:46,17:56,11.16,4,14,8,June-August,230
8,5486,2019-08-18T12:00:00.000Z,night,2019-08-18,16.29,39.64,4.12,234.4,0.0,0.0,,99.37,30.68,11.26,0.0,5.61,41,06:46,17:56,11.16,12,22,8,June-August,230
9,5381,2019-08-31T20:00:00.000Z,dawn,2019-09-01,8.29,46.47,1.28,62.0,0.0,10.32,0.43,99.66,23.93,5.41,0.0,3.17,54,06:32,18:03,11.52,20,6,9,September-November,244
10,5380,2019-08-31T22:00:00.000Z,morning,2019-09-01,14.64,28.93,1.79,41.6,0.0,372.29,0.68,99.83,23.93,5.41,0.0,3.17,54,06:32,18:03,11.52,22,8,9,September-November,244
11,5384,2019-09-01T04:00:00.000Z,afternoon,2019-09-01,26.88,9.88,2.07,197.5,0.0,710.28,0.8,99.58,26.88,8.29,0.0,2.38,55,06:32,18:03,11.52,4,14,9,September-November,244
12,5392,2019-09-01T12:00:00.000Z,night,2019-09-01,15.51,22.36,1.36,173.7,0.0,0.0,,99.8,26.88,8.29,0.0,2.38,55,06:32,18:03,11.52,12,22,9,September-November,244
