count,id,uuid,recorded_date,site_id,duration_seconds,sample_rate_hertz,channels,bit_rate_bps,media_type,data_length_bytes,status,created_at,creator_id,deleted_at,deleter_id,updated_at,updater_id,file_hash,uploader_id,original_file_name,canonical_file_name,recorded_date_timezone,recorded_utc_offset,notes_relative_path,sample_bin,sample_local_date
1,5300,9cb64a1b-96ac-419e-94c7-8c9dd8ea3511,2019-08-13T20:00:00.000Z,257,7194.749,22050,1,177191,audio/x-flac,159356280,ready,2019-12-16T08:27:24.386Z,2,,,2019-12-16T08:27:26.203Z,2,SHA256::87b1cd31d5c07186aeab6ccf1781887502a775d83c5a0d5d8edbc9bb81ae40b0,14,20190814T060000+1000_REC.flac,20190814T060000+1000_Bowra-Dry-A_5300.flac,Australia/Brisbane,,20190814_AAO/20190814T060000+1000_REC.flac,dawn,2019-08-14
2,5299,ae9aeb3e-1166-4526-b419-271df7a679ae,2019-08-13T22:00:00.000Z,257,7194.749,22050,1,174594,audio/x-flac,157020024,ready,2019-12-16T08:27:24.370Z,2,,,2019-12-16T08:27:26.370Z,2,SHA256::a755987a376c93929873e243e990feb97aa8d83414dc650fee7550b66f3dc477,14,20190814T080000+1000_REC.flac,20190814T080000+1000_Bowra-Dry-A_5299.flac,Australia/Brisbane,,20190814_AAO/20190814T080000+1000_REC.flac,morning,2019-08-14
3,5293,480e81f9-f0e8-4420-88a4-0136c86dacde,2019-08-14T04:00:00.000Z,257,7194.749,22050,1,174284,audio/x-flac,156741848,ready,2019-12-16T08:27:18.303Z,2,,,2019-12-16T08:27:19.745Z,2,SHA256::b0a32b53d6212a722196a071c37059ffed1beeb275b55062017edf545dbdb0dd,14,20190814T140000+1000_REC.flac,20190814T140000+1000_Bowra-Dry-A_5293.flac,Australia/Brisbane,,20190814_AAO/20190814T140000+1000_REC.flac,afternoon,2019-08-14
4,5296,93e8650d-acca-4443-bbe9-253d131e911a,2019-08-14T12:00:00.000Z,257,7194.749,22050,1,168861,audio/x-flac,151864828,ready,2019-12-16T08:27:21.396Z,2,,,2019-12-16T08:27:22.236Z,2,SHA256::679a5349963733336b184401409190d44552f9a5fa0678e3386cd42e06a497ac,14,20190814T220000+1000_REC.flac,20190814T220000+1000_Bowra-Dry-A_5296.flac,Australia/Brisbane,,20190814_AAO/20190814T220000+1000_REC.flac,night,2019-08-14
5,5495,c1ca738e-1d8f-4c2b-a7f5-4aea0c51dbca,2019-08-17T20:00:00.000Z,257,7194.749,22050,1,179288,audio/x-flac,161241980,ready,2019-12-16T08:28:51.279Z,2,,,2019-12-16T08:28:52.524Z,2,SHA256::1ffe01768b5fbfdab972cbfa01d43d97e0d6f802284c98cf175fcbd3124312cc,14,20190818T060000+1000_REC.flac,20190818T060000+1000_Bowra-Dry-A_5495.flac,Australia/Brisbane,,20190818_AAO/20190818T060000+1000_REC.flac,dawn,2019-08-18
6,5489,e321011c-da12-42ba-97d3-002aad820119,2019-08-17T22:00:00.000Z,257,7194.749,22050,1,190802,audio/x-flac,171597004,ready,2019-12-16T08:28:47.307Z,2,,,2019-12-16T08:28:48.609Z,2,SHA256::9f452393e408c4002516fda602fbfdd747cb88ff6a27a17a62a9fcad68dda82e,14,20190818T080000+1000_REC.flac,20190818T080000+1000_Bowra-Dry-A_5489.flac,Australia/Brisbane,,20190818_AAO/20190818T080000+1000_REC.flac,morning,2019-08-18
7,5493,92754c1d-4265-4838-a2bb-ae541a782d8c,2019-08-18T04:00:00.000Z,257,7194.749,22050,1,194509,audio/x-flac,174930964,ready,2019-12-16T08:28:50.403Z,2,,,2019-12-16T08:28:51.715Z,2,SHA256::f3110db8e445508e2bb16a314c2cd92e4c9640689a9558b735dceacc6c09c187,14,20190818T140000+1000_REC.flac,20190818T140000+1000_Bowra-Dry-A_5493.flac,Australia/Brisbane,,20190818_AAO/20190818T140000+1000_REC.flac,afternoon,2019-08-18
8,5486,796e4cfd-4042-4bb2-bfbc-77ad2921c8ab,2019-08-18T12:00:00.000Z,257,7194.749,22050,1,191255,audio/x-flac,172004332,ready,2019-12-16T08:28:46.904Z,2,,,2019-12-16T08:28:48.218Z,2,SHA256::67e357a16c533d7264cf7a13dc3c10563ae76c3d5cef2632e748c3dd6f23b6e5,14,20190818T220000+1000_REC.flac,20190818T220000+1000_Bowra-Dry-A_5486.flac,Australia/Brisbane,,20190818_AAO/20190818T220000+1000_REC.flac,night,2019-08-18
9,5381,0374ec78-1533-4f59-a5a5-8058846f13f7,2019-08-31T20:00:00.000Z,257,7194.749,22050,1,179742,audio/x-flac,161650472,ready,2019-12-16T08:27:57.929Z,2,,,2019-12-16T08:27:59.957Z,2,SHA256::e439ab3073af4ce1b761cd1a4e1b1a779d7efa0b55723170f7f4450146a4b81e,14,20190901T060000+1000_REC.flac,20190901T060000+1000_Bowra-Dry-A_5381.flac,Australia/Brisbane,,20190901_AAO/20190901T060000+1000_REC.flac,dawn,2019-09-01
10,5380,e1b3aab7-01ef-4040-98c4-8d7adab382d8,2019-08-31T22:00:00.000Z,257,7194.749,22050,1,176272,audio/x-flac,158529168,ready,2019-12-16T08:27:57.910Z,2,,,2019-12-16T08:27:59.750Z,2,SHA256::6e07a7c155fd63ba1a69532ad871a511f85d4ae04d98d87248be1f36382df8ae,14,20190901T080000+1000_REC.flac,20190901T080000+1000_Bowra-Dry-A_5380.flac,Australia/Brisbane,,20190901_AAO/20190901T080000+1000_REC.flac,morning,2019-09-01
11,5384,21a23804-dcc2-427b-a37d-d3a802c9e5d4,2019-09-01T04:00:00.000Z,257,7194.749,22050,1,171409,audio/x-flac,154155908,ready,2019-12-16T08:28:01.540Z,2,,,2019-12-16T08:28:02.446Z,2,SHA256::baa514dfe14798af404b26e36a55135ff450d15c96b3ea85e0985da63b306c37,14,20190901T140000+1000_REC.flac,20190901T140000+1000_Bowra-Dry-A_5384.flac,Australia/Brisbane,,20190901_AAO/20190901T140000+1000_REC.flac,afternoon,2019-09-01
12,5392,80f9a796-f497-469d-a08c-54d848328396,2019-09-01T12:00:00.000Z,257,7194.749,22050,1,168509,audio/x-flac,151548220,ready,2019-12-16T08:28:05.409Z,2,,,2019-12-16T08:28:06.753Z,2,SHA256::d17b58ec349386de815902c6539963f5cddac9d694a353e8ea783f3484b0c627,14,20190901T220000+1000_REC.flac,20190901T220000+1000_Bowra-Dry-A_5392.flac,Australia/Brisbane,,20190901_AAO/20190901T220000+1000_REC.flac,night,2019-09-01
13,5418,02745907-f414-4c51-810f-89a763e7cdd5,2019-09-22T20:00:00.000Z,257,7194.749,22050,1,176963,audio/x-flac,159150708,ready,2019-12-16T08:28:17.035Z,2,,,2019-12-16T08:28:18.514Z,2,SHA256::7a13b121353f787d51e4266a3e7a8a9b703303a903a25dc239b73593e8ae2806,14,20190923T060000+1000_REC.flac,20190923T060000+1000_Bowra-Dry-A_5418.flac,Australia/Brisbane,,20190923_AAO/20190923T060000+1000_REC.flac,dawn,2019-09-23
14,5425,75456b72-d205-468d-ac3a-12921e26dbe5,2019-09-22T22:00:00.000Z,257,7194.749,22050,1,188948,audio/x-flac,169929324,ready,2019-12-16T08:28:20.857Z,2,,,2019-12-16T08:28:22.527Z,2,SHA256::352ddc9ecbc2c939ec20767624de7bab6964b3ac087224345704cb4d6347a313,14,20190923T080000+1000_REC.flac,20190923T080000+1000_Bowra-Dry-A_5425.flac,Australia/Brisbane,,20190923_AAO/20190923T080000+1000_REC.flac,morning,2019-09-23
15,5413,b2a79ce0-6847-46dc-acfb-21e1fc9e1e20,2019-09-23T04:00:00.000Z,257,7194.749,22050,1,176704,audio/x-flac,158917824,ready,2019-12-16T08:28:13.739Z,2,,,2019-12-16T08:28:16.504Z,2,SHA256::c9d58082aa9257839898f0dad58314cb6fd961801e2736f3d0504e924ca4b48e,14,20190923T140000+1000_REC.flac,20190923T140000+1000_Bowra-Dry-A_5413.flac,Australia/Brisbane,,20190923_AAO/20190923T140000+1000_REC.flac,afternoon,2019-09-23
16,5421,2840e433-8c3e-484f-abdd-2229953220bf,2019-09-23T12:00:00.000Z,257,7194.749,22050,1,169405,audio/x-flac,152353668,ready,2019-12-16T08:28:20.179Z,2,,,2019-12-16T08:28:21.234Z,2,SHA256::b7acee817523954059a5501bcd45c2419a2a5ea9a5ffe91c927916883f235f11,14,20190923T220000+1000_REC.flac,20190923T220000+1000_Bowra-Dry-A_5421.flac,Australia/Brisbane,,20190923_AAO/20190923T220000+1000_REC.flac,night,2019-09-23
17,4881,b62bed9c-3a2a-4372-8bb8-99bec5512290,2019-10-03T20:00:00.000Z,257,7194.749,22050,1,178655,audio/x-flac,160672288,ready,2019-12-16T08:24:12.351Z,2,,,2019-12-16T08:24:13.831Z,2,SHA256::06229fd4258b2b3677bbdd2148a018007e85e84bf443ba9f49b162b0671f566c,14,20191004T060000+1000_REC.flac,20191004T060000+1000_Bowra-Dry-A_4881.flac,Australia/Brisbane,,20191004_AAO/20191004T060000+1000_REC.flac,dawn,2019-10-04
18,4887,a3baf669-080d-4ceb-8123-3a2023a5018f,2019-10-03T22:00:00.000Z,257,7194.749,22050,1,184683,audio/x-flac,166093664,ready,2019-12-16T08:24:13.066Z,2,,,2019-12-16T08:24:14.759Z,2,SHA256::6a92d2fbc829c210bbe8550614a993e3d63a9c37f0449905911d8fada819f8d3,14,20191004T080000+1000_REC.flac,20191004T080000+1000_Bowra-Dry-A_4887.flac,Australia/Brisbane,,20191004_AAO/20191004T080000+1000_REC.flac,morning,2019-10-04
19,4889,351e644b-eebd-4602-b904-8ee279ef3f1f,2019-10-04T04:00:00.000Z,257,7194.749,22050,1,171761,audio/x-flac,154472596,ready,2019-12-16T08:24:15.106Z,2,,,2019-12-16T08:24:16.589Z,2,SHA256::a71c63f8429b4de91d749637c16fb4a6a5c0eaf626bedf7d3ea03b6f5179b79f,14,20191004T140000+1000_REC.flac,20191004T140000+1000_Bowra-Dry-A_4889.flac,Australia/Brisbane,,20191004_AAO/20191004T140000+1000_REC.flac,afternoon,2019-10-04
20,4883,ce945c81-ba39-4d5c-a46e-a951f5b662ef,2019-10-04T12:00:00.000Z,257,7194.749,22050,1,169793,audio/x-flac,152702872,ready,2019-12-16T08:24:12.460Z,2,,,2019-12-16T08:24:15.075Z,2,SHA256::2bff522167e8afe26171c8469e3c9c403f283c3680a2af537733055aafae36a5,14,20191004T220000+1000_REC.flac,20191004T220000+1000_Bowra-Dry-A_4883.flac,Australia/Brisbane,,20191004_AAO/20191004T220000+1000_REC.flac,night,2019-10-04
21,214503,770e070b-545b-4b31-8e42-eb0eaf69fca3,2019-10-21T20:00:00.000Z,257,7194.749,22050,1,173688,audio/x-flac,156205904,ready,2021-10-02T14:10:47.147Z,2,,,2021-10-02T14:10:47.914Z,2,SHA256::be7555148d1a540459d0d334f3527abfd6c00c846de060858e436e52add2ccbd,1,20191022T060000+1000_REC.flac,20191022T060000+1000_Bowra-Dry-A_214503.flac,Australia/Brisbane,,20200506_65/257/0591/20191022_AAO/20191022T060000+1000_REC.flac,dawn,2019-10-22
22,214510,e084ead9-944b-4410-931f-adfd12e110ae,2019-10-21T22:00:00.000Z,257,7194.749,22050,1,181425,audio/x-flac,163163676,ready,2021-10-02T14:10:52.823Z,2,,,2021-10-02T14:10:53.367Z,2,SHA256::39bf3c509cafcc470f2d447cba052279ab9e578eb0717cd349509c44035d9e83,1,20191022T080000+1000_REC.flac,20191022T080000+1000_Bowra-Dry-A_214510.flac,Australia/Brisbane,,20200506_65/257/0591/20191022_AAO/20191022T080000+1000_REC.flac,morning,2019-10-22
23,214508,ca4b961c-d8de-4bfb-934e-65cc088ec386,2019-10-22T04:00:00.000Z,257,7194.749,22050,1,173349,audio/x-flac,155900716,ready,2021-10-02T14:10:52.329Z,2,,,2021-10-02T14:10:52.878Z,2,SHA256::352659d0b1112a07a8ca4b867b03ed6c16a943d10db3ed114198bc40c2d6061b,1,20191022T140000+1000_REC.flac,20191022T140000+1000_Bowra-Dry-A_214508.flac,Australia/Brisbane,,20200506_65/257/0591/20191022_AAO/20191022T140000+1000_REC.flac,afternoon,2019-10-22
